Node,Zone
AltoPraderas_220_kV,Zone1
ChilcaREP_220_kV,Zone1
ChilcaCTM_220_kV,Zone1
Asia_220_kV,Zone1
Cantera_220_kV,Zone1
Desierto_220_kV,Zone1
Chincha_220_kV,Zone1
Independencia_220_kV,Zone1
Aceros_220_kV,Zone1
Ica_220_kV,Zone1
Nazca_220_kV,Zone1
Marcona_220_kV,Zone1
Poroma_220_kV,Zone1
Huancavelica_220_kV,Zone1
Caudalosa_220_kV,Zone1
Mollepata_220_kV,Zone1
Planicie_220_kV,Zone1
Manchay_220_kV,Zone1
Cajamarquilla_220_kV,Zone1
Carapongo_220_kV,Zone1
SanMiguel_220_kV,Zone1
Callahuanca_220_kV,Zone1
Matucana_220_kV,Zone1
Pachachaca_220_kV,Zone1
Yanango_220_kV,Zone1
YanangoNueva_220_kV,Zone1
Oroya_220_kV,Zone1
Carhuamayo_220_kV,Zone1
Yuncan_220_kV,Zone1
Paragsha_220_kV,Zone1
Francoise_220_kV,Zone1
Huanuco_220_kV,Zone1
Chaglla_220_kV,Zone1
TingoMaria_220_kV,Zone1
TingoMariaN_220_kV,Zone1
BeloHorizonte_220_kV,Zone1
Aguaytia_220_kV,Zone1
Vizcarra_220_kV,Zone1
Yungas_220_kV,Zone1
Antamina_220_kV,Zone1
Conococha_220_kV,Zone1
Pomacocha_220_kV,Zone1
Huanza_220_kV,Zone1
Orcotuna_220_kV,Zone1
Huayucachi_220_kV,Zone1
Colcabamba_220_kV,Zone1
CAguila_220_kV,Zone1
Mantaro_220_kV,Zone1
Cotaruse_220_kV,Zone1
Socabaya_220_kV,Zone1
CerroVerde_220_kV,Zone1
Yarabamba_220_kV,Zone1
SanLuisCV_220_kV,Zone1
SanJose_220_kV,Zone1
Moquegua_220_kV,Zone1
Montalvo_220_kV,Zone1
Ilo2_220_kV,Zone1
Ilo3_220_kV,Zone1
TiaMaria_220_kV,Zone1
LosHeroes_220_kV,Zone1
Puno_220_kV,Zone1
Juliaca_220_kV,Zone1
Azangaro_220_kV,Zone1
San_Gaban_220_kV,Zone1
Tintaya_220_kV,Zone1
Onocora_220_kV,Zone1
Kayra_220_kV,Zone1
Suriray_220_kV,Zone1
Abancay_220_kV,Zone1
Constancia_220_kV,Zone1
LasBambas_220_kV,Zone1
Carhuaquero_138_kV,Zone1
Cutervo_138_kV,Zone1
Jaen_138_kV,Zone1
Chimbote_138_kV,Zone1
Huallanca_138_kV,Zone1
KimanAyllu_138_kV,Zone1
SEPANU_138_kV,Zone1
SEPAEX_138_kV,Zone1
Yuncan_138_kV,Zone1
Yaupi_138_kV,Zone1
Oroya_138_kV,Zone1
Caripa_138_kV,Zone1
Condorcocha_138_kV,Zone1
Carhuamayo_138_kV,Zone1
Paragsha_138_kV,Zone1
Huanuco_138_kV,Zone1
HuanucoNueva_138_kV,Zone1
Amarilis_138_kV,Zone1
PiedraBlanca_138_kV,Zone1
SantaLorenza_138_kV,Zone1
TingoMaria_138_kV,Zone1
Aucayacu_138_kV,Zone1
Tocache_138_kV,Zone1
Bellavista_138_kV,Zone1
Tarapoto_138_kV,Zone1
Picota_138_kV,Zone1
Moyobamba_138_kV,Zone1
Aguaytia(neutro)_138_kV,Zone1
Aguaytia_138_kV,Zone1
Pucallpa_138_kV,Zone1
CampoVerde_138_kV,Zone1
Moquegua_138_kV,Zone1
MoqueguaC_138_kV,Zone1
Botiflaca_138_kV,Zone1
MillSite_138_kV,Zone1
Toquepala_138_kV,Zone1
Aricota_138_kV,Zone1
Ilo3_138_kV,Zone1
IloELS_138_kV,Zone1
SPCC_138_kV,Zone1
Azangaro_138_kV,Zone1
Maravilla_138_kV,Zone1
Putina_138_kV,Zone1
Ananea_138_kV,Zone1
Juliaca_138_kV,Zone1
Puno_138_kV,Zone1
Totorani_138_kV,Zone1
SanRafael_138_kV,Zone1
SanGaban_138_kV,Zone1
Mazuco_138_kV,Zone1
PuertoMaldonado_138_kV,Zone1
Ayaviri_138_kV,Zone1
Tintaya_138_kV,Zone1
Combapata_138_kV,Zone1
Quencoro_138_kV,Zone1
Kayra_138_kV,Zone1
ParqueInd_138_kV,Zone1
Dolorespata_138_kV,Zone1
Suriray_138_kV,Zone1
Machupicchu_138_kV,Zone1
Cachimayo_138_kV,Zone1
Abancay_138_kV,Zone1
Tamburco_138_kV,Zone1
Callalli_138_kV,Zone1
Santuario_138_kV,Zone1
Socabaya_138_kV,Zone1
CerroVerde_138_kV,Zone1
Reparticion_138_kV,Zone1
Mollendo_138_kV,Zone1
Guadalupe_60_kV,Zone1
Callahuanca_60_kV,Zone1
Huampani_60_kV,Zone1
nhanha_60_kV,Zone1
Huachipa_60_kV,Zone1
SanMiguel_60_kV,Zone1
Planicie_60_kV,Zone1
Manchay_60_kV,Zone1
Moyopampa_60_kV,Zone1
SantaRosaLDS_60_kV,Zone1
SantaRosaEDN_60_kV,Zone1
Mirador_60_kV,Zone1
Puente_60_kV,Zone1
Salamanca_60_kV,Zone1
Balnearios_60_kV,Zone1
SanJuan_60_kV,Zone1
Pachacutec_60_kV,Zone1
Aeropuerto_60_kV,Zone1
Chavarria_60_kV,Zone1
Naranjal_60_kV,Zone1
Oquendo_60_kV,Zone1
Chillon_60_kV,Zone1
PuentePiedra_60_kV,Zone1
Huarangal_60_kV,Zone1
Zapallal_60_kV,Zone1
Lomera_60_kV,Zone1
Mirones_60_kV,Zone1
Barsi_60_kV,Zone1
Chilca_60_kV,Zone1
SanBartolo_60_kV,Zone1
Praderas_60_kV,Zone1
Bujama_60_kV,Zone1
Independencia_60_kV,Zone1
PuebloNuevo_60_kV,Zone1
Marcona_60_kV,Zone1
Nazca_60_kV,Zone1
Cobriza_69_kV,Zone1
Machahuay_69_kV,Zone1
Huanta_69_kV,Zone1
Mollepata_69_kV,Zone1
Huayucachi_60_kV,Zone1
Huancayo_60_kV,Zone1
PIndustrial_60_kV,Zone1
Orcotuna_60_kV,Zone1
Oroya_50_kV,Zone1
Pzinc_50_kV,Zone1
OroyaCH_50_kV,Zone1
Malpaso_50_kV,Zone1
Carhuamayo_50_kV,Zone1
Excelsior_50_kV,Zone1
Paragsha_50_kV,Zone1
Aguaytia_22.9_kV,Zone1
Pucallpa_60_kV,Zone1
Tacna_66_kV,Zone1
Tomasiri_66_kV,Zone1
Aricota_66_kV,Zone1
Pucallpa_220_kV,Zone1
ColSur_500_kV,Zone1
Mainique1_500_kV,Zone1
Inambari_500_kV,Zone1
Brasil_500_kV,Zone1
Paquitzapango_500_kV,Zone1
Tambo40_500_kV,Zone1
Tambo60_500_kV,Zone1
Chorrillos_500_kV,Zone1
Cajamarca_500_kV,Zone1
Platanal_220_kV,Zone1
