Period,Scenario,LoadLevel,MW
2030,sc01,01-08 19:00:00+01:00,2337.741
2030,sc01,01-08 21:00:00+01:00,2075.3415
2030,sc01,01-08 23:00:00+01:00,1622.106
2030,sc01,01-09 01:00:00+01:00,1667.25
2030,sc01,01-09 03:00:00+01:00,1526.175
2030,sc01,01-09 05:00:00+01:00,1526.175
2030,sc01,01-09 07:00:00+01:00,2052.0
2030,sc01,01-09 09:00:00+01:00,2449.575
2030,sc01,01-09 11:00:00+01:00,2449.575
2030,sc01,01-09 13:00:00+01:00,2436.75
2030,sc01,01-09 15:00:00+01:00,2398.275
2030,sc01,01-09 17:00:00+01:00,2552.1749999999997
2030,sc01,01-09 19:00:00+01:00,2513.7
2030,sc01,01-09 21:00:00+01:00,2231.5499999999997
2030,sc01,01-09 23:00:00+01:00,1744.2
2030,sc01,01-10 01:00:00+01:00,1633.905
2030,sc01,01-10 03:00:00+01:00,1495.6515
2030,sc01,01-10 05:00:00+01:00,1495.6515
2030,sc01,01-10 07:00:00+01:00,2010.96
2030,sc01,01-10 09:00:00+01:00,2400.5834999999997
2030,sc01,01-10 11:00:00+01:00,2400.5834999999997
2030,sc01,01-10 13:00:00+01:00,2388.015
2030,sc01,01-10 15:00:00+01:00,2350.3095000000003
2030,sc01,01-10 17:00:00+01:00,2501.1315
2030,sc01,01-10 19:00:00+01:00,2463.426
2030,sc01,01-10 21:00:00+01:00,2186.919
2030,sc01,01-10 23:00:00+01:00,1709.316
2030,sc01,01-11 01:00:00+01:00,1600.56
2030,sc01,01-11 03:00:00+01:00,1465.128
2030,sc01,01-11 05:00:00+01:00,1465.128
2030,sc01,01-11 07:00:00+01:00,1969.9199999999998
2030,sc01,01-11 09:00:00+01:00,2351.592
2030,sc01,01-11 11:00:00+01:00,2351.592
2030,sc01,01-11 13:00:00+01:00,2339.2799999999997
2030,sc01,01-11 15:00:00+01:00,2302.344
2030,sc01,01-11 17:00:00+01:00,2450.0879999999997
2030,sc01,01-11 19:00:00+01:00,2413.152
2030,sc01,01-11 21:00:00+01:00,2142.288
2030,sc01,01-11 23:00:00+01:00,1674.432
2030,sc01,01-12 01:00:00+01:00,1567.2150000000001
2030,sc01,01-12 03:00:00+01:00,1434.6045000000001
2030,sc01,01-12 05:00:00+01:00,1434.6045000000001
2030,sc01,01-12 07:00:00+01:00,1928.88
2030,sc01,01-12 09:00:00+01:00,2302.6005
2030,sc01,01-12 11:00:00+01:00,2302.6005
2030,sc01,01-12 13:00:00+01:00,2290.545
2030,sc01,01-12 15:00:00+01:00,2254.3785000000003
2030,sc01,01-12 17:00:00+01:00,2399.0445
2030,sc01,01-12 19:00:00+01:00,2362.878
2030,sc01,01-12 21:00:00+01:00,2097.657
2030,sc01,01-12 23:00:00+01:00,1639.548
2030,sc01,01-13 01:00:00+01:00,1481.2875000000001
2030,sc01,01-13 03:00:00+01:00,1323.2835
2030,sc01,01-13 05:00:00+01:00,1273.90725
2030,sc01,01-13 07:00:00+01:00,1343.034
2030,sc01,01-13 09:00:00+01:00,1659.042
2030,sc01,01-13 11:00:00+01:00,1787.4202500000001
2030,sc01,01-13 13:00:00+01:00,1757.7945
2030,sc01,01-13 15:00:00+01:00,1718.2935
2030,sc01,01-13 17:00:00+01:00,1886.1727500000002
2030,sc01,01-13 19:00:00+01:00,1935.549
2030,sc01,01-13 21:00:00+01:00,1836.7965000000002
2030,sc01,01-13 23:00:00+01:00,1659.042
2030,sc01,01-14 01:00:00+01:00,1442.8125
2030,sc01,01-14 03:00:00+01:00,1288.9125000000001
2030,sc01,01-14 05:00:00+01:00,1240.8187500000001
2030,sc01,01-14 07:00:00+01:00,1308.15
2030,sc01,01-14 09:00:00+01:00,1615.95
2030,sc01,01-14 11:00:00+01:00,1740.99375
2030,sc01,01-14 13:00:00+01:00,1712.1375
2030,sc01,01-14 15:00:00+01:00,1673.6625000000001
2030,sc01,01-14 17:00:00+01:00,1837.18125
2030,sc01,01-14 19:00:00+01:00,1885.275
2030,sc01,01-14 21:00:00+01:00,1789.0875
2030,sc01,01-14 23:00:00+01:00,1615.95
2030,sc01,01-15 01:00:00+01:00,1512.6403500000001
2030,sc01,01-15 03:00:00+01:00,1384.647705
2030,sc01,01-15 05:00:00+01:00,1384.647705
2030,sc01,01-15 07:00:00+01:00,1861.7112000000002
2030,sc01,01-15 09:00:00+01:00,2222.4177449999997
2030,sc01,01-15 11:00:00+01:00,2222.417745
2030,sc01,01-15 13:00:00+01:00,2210.7820500000003
2030,sc01,01-15 15:00:00+01:00,2175.874965
2030,sc01,01-15 17:00:00+01:00,2315.503305
2030,sc01,01-15 19:00:00+01:00,2280.5962200000004
2030,sc01,01-15 21:00:00+01:00,2024.61093
2030,sc01,01-15 23:00:00+01:00,1582.45452
2030,sc01,01-16 01:00:00+01:00,1626.4950000000001
2030,sc01,01-16 03:00:00+01:00,1488.8685
2030,sc01,01-16 05:00:00+01:00,1488.8685
2030,sc01,01-16 07:00:00+01:00,2001.8400000000001
2030,sc01,01-16 09:00:00+01:00,2389.6965
2030,sc01,01-16 11:00:00+01:00,2389.6965
2030,sc01,01-16 13:00:00+01:00,2377.185
2030,sc01,01-16 15:00:00+01:00,2339.6505
2030,sc01,01-16 17:00:00+01:00,2489.7885
2030,sc01,01-16 19:00:00+01:00,2452.2540000000004
2030,sc01,01-16 21:00:00+01:00,2177.001
2030,sc01,01-16 23:00:00+01:00,1701.564
2030,sc01,01-17 01:00:00+01:00,1593.9651000000001
2030,sc01,01-17 03:00:00+01:00,1459.09113
2030,sc01,01-17 05:00:00+01:00,1459.09113
2030,sc01,01-17 07:00:00+01:00,1961.8032000000003
2030,sc01,01-17 09:00:00+01:00,2341.90257
2030,sc01,01-17 11:00:00+01:00,2341.90257
2030,sc01,01-17 13:00:00+01:00,2329.6413000000002
2030,sc01,01-17 15:00:00+01:00,2292.8574900000003
2030,sc01,01-17 17:00:00+01:00,2439.99273
2030,sc01,01-17 19:00:00+01:00,2403.20892
2030,sc01,01-17 21:00:00+01:00,2133.4609800000003
2030,sc01,01-17 23:00:00+01:00,1667.5327200000002
2030,sc01,01-18 01:00:00+01:00,1561.4352000000001
2030,sc01,01-18 03:00:00+01:00,1429.3137600000002
2030,sc01,01-18 05:00:00+01:00,1429.3137600000002
2030,sc01,01-18 07:00:00+01:00,1921.7664000000002
2030,sc01,01-18 09:00:00+01:00,2294.1086400000004
2030,sc01,01-18 11:00:00+01:00,2294.1086400000004
2030,sc01,01-18 13:00:00+01:00,2282.0976
2030,sc01,01-18 15:00:00+01:00,2246.06448
2030,sc01,01-18 17:00:00+01:00,2390.19696
2030,sc01,01-18 19:00:00+01:00,2354.16384
2030,sc01,01-18 21:00:00+01:00,2089.9209600000004
2030,sc01,01-18 23:00:00+01:00,1633.5014400000002
2030,sc01,01-19 01:00:00+01:00,1528.9053000000001
2030,sc01,01-19 03:00:00+01:00,1399.5363900000002
2030,sc01,01-19 05:00:00+01:00,1399.5363900000002
2030,sc01,01-19 07:00:00+01:00,1881.7296000000001
2030,sc01,01-19 09:00:00+01:00,2246.31471
2030,sc01,01-19 11:00:00+01:00,2246.31471
2030,sc01,01-19 13:00:00+01:00,2234.5539
2030,sc01,01-19 15:00:00+01:00,2199.27147
2030,sc01,01-19 17:00:00+01:00,2340.40119
2030,sc01,01-19 19:00:00+01:00,2305.1187600000003
2030,sc01,01-19 21:00:00+01:00,2046.3809400000002
2030,sc01,01-19 23:00:00+01:00,1599.4701600000003
2030,sc01,01-20 01:00:00+01:00,1445.0782500000003
2030,sc01,01-20 03:00:00+01:00,1290.9365700000003
2030,sc01,01-20 05:00:00+01:00,1242.767295
2030,sc01,01-20 07:00:00+01:00,1310.2042800000002
2030,sc01,01-20 09:00:00+01:00,1618.4876400000003
2030,sc01,01-20 11:00:00+01:00,1743.7277550000003
2030,sc01,01-20 13:00:00+01:00,1714.8261900000002
2030,sc01,01-20 15:00:00+01:00,1676.2907700000003
2030,sc01,01-20 17:00:00+01:00,1840.0663050000003
2030,sc01,01-20 19:00:00+01:00,1888.2355800000003
2030,sc01,01-20 21:00:00+01:00,1791.89703
2030,sc01,01-20 23:00:00+01:00,1618.4876400000003
2030,sc01,01-21 01:00:00+01:00,1407.5437500000003
2030,sc01,01-21 03:00:00+01:00,1257.4057500000001
2030,sc01,01-21 05:00:00+01:00,1210.4876250000002
2030,sc01,01-21 07:00:00+01:00,1276.1730000000002
2030,sc01,01-21 09:00:00+01:00,1576.4490000000003
2030,sc01,01-21 11:00:00+01:00,1698.4361250000002
2030,sc01,01-21 13:00:00+01:00,1670.2852500000001
2030,sc01,01-21 15:00:00+01:00,1632.7507500000002
2030,sc01,01-21 17:00:00+01:00,1792.2723750000002
2030,sc01,01-21 19:00:00+01:00,1839.1905000000002
2030,sc01,01-21 21:00:00+01:00,1745.3542500000003
2030,sc01,01-21 23:00:00+01:00,1576.4490000000003
2030,sc01,01-22 01:00:00+01:00,1436.8360500000001
2030,sc01,01-22 03:00:00+01:00,1315.2576150000002
2030,sc01,01-22 05:00:00+01:00,1315.2576150000002
2030,sc01,01-22 07:00:00+01:00,1768.4136000000003
2030,sc01,01-22 09:00:00+01:00,2111.043735
2030,sc01,01-22 11:00:00+01:00,2111.043735
2030,sc01,01-22 13:00:00+01:00,2099.9911500000003
2030,sc01,01-22 15:00:00+01:00,2066.833395
2030,sc01,01-22 17:00:00+01:00,2199.4644150000004
2030,sc01,01-22 19:00:00+01:00,2166.30666
2030,sc01,01-22 21:00:00+01:00,1923.1497900000002
2030,sc01,01-22 23:00:00+01:00,1503.1515600000002
2030,sc01,01-23 01:00:00+01:00,1544.9850000000001
2030,sc01,01-23 03:00:00+01:00,1414.2555000000002
2030,sc01,01-23 05:00:00+01:00,1414.2555000000002
2030,sc01,01-23 07:00:00+01:00,1901.5200000000002
2030,sc01,01-23 09:00:00+01:00,2269.9395000000004
2030,sc01,01-23 11:00:00+01:00,2269.9395000000004
2030,sc01,01-23 13:00:00+01:00,2258.0550000000003
2030,sc01,01-23 15:00:00+01:00,2222.4015000000004
2030,sc01,01-23 17:00:00+01:00,2365.0155000000004
2030,sc01,01-23 19:00:00+01:00,2329.362
2030,sc01,01-23 21:00:00+01:00,2067.9030000000002
2030,sc01,01-23 23:00:00+01:00,1616.2920000000004
2030,sc01,01-24 01:00:00+01:00,1514.0853000000002
2030,sc01,01-24 03:00:00+01:00,1385.9703900000002
2030,sc01,01-24 05:00:00+01:00,1385.9703900000002
2030,sc01,01-24 07:00:00+01:00,1863.4896
2030,sc01,01-24 09:00:00+01:00,2224.54071
2030,sc01,01-24 11:00:00+01:00,2224.54071
2030,sc01,01-24 13:00:00+01:00,2212.8939000000005
2030,sc01,01-24 15:00:00+01:00,2177.9534700000004
2030,sc01,01-24 17:00:00+01:00,2317.7151900000003
2030,sc01,01-24 19:00:00+01:00,2282.7747600000002
2030,sc01,01-24 21:00:00+01:00,2026.5449400000002
2030,sc01,01-24 23:00:00+01:00,1583.9661600000002
2030,sc01,01-25 01:00:00+01:00,1483.1856000000002
2030,sc01,01-25 03:00:00+01:00,1357.6852800000004
2030,sc01,01-25 05:00:00+01:00,1357.6852800000004
2030,sc01,01-25 07:00:00+01:00,1825.4592000000002
2030,sc01,01-25 09:00:00+01:00,2179.14192
2030,sc01,01-25 11:00:00+01:00,2179.14192
2030,sc01,01-25 13:00:00+01:00,2167.7328
2030,sc01,01-25 15:00:00+01:00,2133.5054400000004
2030,sc01,01-25 17:00:00+01:00,2270.4148800000003
2030,sc01,01-25 19:00:00+01:00,2236.1875200000004
2030,sc01,01-25 21:00:00+01:00,1985.1868800000002
2030,sc01,01-25 23:00:00+01:00,1551.6403200000002
2030,sc01,01-26 01:00:00+01:00,1452.2859000000003
2030,sc01,01-26 03:00:00+01:00,1329.4001700000003
2030,sc01,01-26 05:00:00+01:00,1329.4001700000003
2030,sc01,01-26 07:00:00+01:00,1787.4288000000004
2030,sc01,01-26 09:00:00+01:00,2133.7431300000003
2030,sc01,01-26 11:00:00+01:00,2133.7431300000003
2030,sc01,01-26 13:00:00+01:00,2122.5717000000004
2030,sc01,01-26 15:00:00+01:00,2089.0574100000003
2030,sc01,01-26 17:00:00+01:00,2223.11457
2030,sc01,01-26 19:00:00+01:00,2189.6002800000006
2030,sc01,01-26 21:00:00+01:00,1943.8288200000004
2030,sc01,01-26 23:00:00+01:00,1519.3144800000005
2030,sc01,01-27 01:00:00+01:00,1372.6597500000003
2030,sc01,01-27 03:00:00+01:00,1226.2427100000004
2030,sc01,01-27 05:00:00+01:00,1180.4873850000004
2030,sc01,01-27 07:00:00+01:00,1244.5448400000002
2030,sc01,01-27 09:00:00+01:00,1537.3789200000003
2030,sc01,01-27 11:00:00+01:00,1656.3427650000003
2030,sc01,01-27 13:00:00+01:00,1628.8895700000003
2030,sc01,01-27 15:00:00+01:00,1592.2853100000004
2030,sc01,01-27 17:00:00+01:00,1747.8534150000005
2030,sc01,01-27 19:00:00+01:00,1793.6087400000004
2030,sc01,01-27 21:00:00+01:00,1702.0980900000004
2030,sc01,01-27 23:00:00+01:00,1537.3789200000006
2030,sc01,01-28 01:00:00+01:00,1337.0062500000004
2030,sc01,01-28 03:00:00+01:00,1194.3922500000003
2030,sc01,01-28 05:00:00+01:00,1149.8253750000003
2030,sc01,01-28 07:00:00+01:00,1212.2190000000003
2030,sc01,01-28 09:00:00+01:00,1497.4470000000003
2030,sc01,01-28 11:00:00+01:00,1613.3208750000003
2030,sc01,01-28 13:00:00+01:00,1586.5807500000003
2030,sc01,01-28 15:00:00+01:00,1550.9272500000004
2030,sc01,01-28 17:00:00+01:00,1702.4546250000003
2030,sc01,01-28 19:00:00+01:00,1747.0215000000003
2030,sc01,01-28 21:00:00+01:00,1657.8877500000003
2030,sc01,01-28 23:00:00+01:00,1497.4470000000003
2030,sc01,01-29 01:00:00+01:00,1516.0860000000002
2030,sc01,01-29 03:00:00+01:00,1387.8018000000004
2030,sc01,01-29 05:00:00+01:00,1387.8018000000004
2030,sc01,01-29 07:00:00+01:00,1865.9520000000002
2030,sc01,01-29 09:00:00+01:00,2227.4802000000004
2030,sc01,01-29 11:00:00+01:00,2227.4802000000004
2030,sc01,01-29 13:00:00+01:00,2215.818
2030,sc01,01-29 15:00:00+01:00,2180.8314000000005
2030,sc01,01-29 17:00:00+01:00,2320.7778000000003
2030,sc01,01-29 19:00:00+01:00,2285.7912000000006
2030,sc01,01-29 21:00:00+01:00,2029.2228000000005
2030,sc01,01-29 23:00:00+01:00,1586.0592000000004
2030,sc01,01-30 01:00:00+01:00,1630.2000000000003
2030,sc01,01-30 03:00:00+01:00,1492.2600000000004
2030,sc01,01-30 05:00:00+01:00,1492.2600000000004
2030,sc01,01-30 07:00:00+01:00,2006.4000000000003
2030,sc01,01-30 09:00:00+01:00,2395.1400000000003
2030,sc01,01-30 11:00:00+01:00,2395.1400000000003
2030,sc01,01-30 13:00:00+01:00,2382.6000000000004
2030,sc01,01-30 15:00:00+01:00,2344.9800000000005
2030,sc01,01-30 17:00:00+01:00,2495.4600000000005
2030,sc01,01-30 19:00:00+01:00,2457.8400000000006
2030,sc01,01-30 21:00:00+01:00,2181.9600000000005
2030,sc01,01-30 23:00:00+01:00,1705.4400000000005
2030,sc01,01-31 01:00:00+01:00,1597.5960000000005
2030,sc01,01-31 03:00:00+01:00,1462.4148000000005
2030,sc01,01-31 05:00:00+01:00,1462.4148000000005
2030,sc01,01-31 07:00:00+01:00,1966.2720000000004
2030,sc01,01-31 09:00:00+01:00,2347.2372000000005
2030,sc01,01-31 11:00:00+01:00,2347.2372000000005
2030,sc01,01-31 13:00:00+01:00,2334.9480000000003
2030,sc01,01-31 15:00:00+01:00,2298.0804000000003
2030,sc01,01-31 17:00:00+01:00,2445.5508000000004
2030,sc01,01-31 19:00:00+01:00,2408.6832000000004
2030,sc01,01-31 21:00:00+01:00,2138.3208000000004
2030,sc01,01-31 23:00:00+01:00,1671.3312000000003
2030,sc01,02-01 01:00:00+01:00,1564.9920000000004
2030,sc01,02-01 03:00:00+01:00,1432.5696000000005
2030,sc01,02-01 05:00:00+01:00,1432.5696000000005
2030,sc01,02-01 07:00:00+01:00,1926.1440000000002
2030,sc01,02-01 09:00:00+01:00,2299.3344000000006
2030,sc01,02-01 11:00:00+01:00,2299.3344000000006
2030,sc01,02-01 13:00:00+01:00,2287.2960000000003
2030,sc01,02-01 15:00:00+01:00,2251.1808000000005
2030,sc01,02-01 17:00:00+01:00,2395.6416000000004
2030,sc01,02-01 19:00:00+01:00,2359.5264000000006
2030,sc01,02-01 21:00:00+01:00,2094.6816000000003
2030,sc01,02-01 23:00:00+01:00,1637.2224000000006
2030,sc01,02-02 01:00:00+01:00,1532.3880000000004
2030,sc01,02-02 03:00:00+01:00,1402.7244000000003
2030,sc01,02-02 05:00:00+01:00,1402.7244000000003
2030,sc01,02-02 07:00:00+01:00,1886.0160000000005
2030,sc01,02-02 09:00:00+01:00,2251.4316000000003
2030,sc01,02-02 11:00:00+01:00,2251.4316000000003
2030,sc01,02-02 13:00:00+01:00,2239.6440000000002
2030,sc01,02-02 15:00:00+01:00,2204.2812000000004
2030,sc01,02-02 17:00:00+01:00,2345.7324000000003
2030,sc01,02-02 19:00:00+01:00,2310.3696000000004
2030,sc01,02-02 21:00:00+01:00,2051.0424000000003
2030,sc01,02-02 23:00:00+01:00,1603.1136000000004
2030,sc01,02-03 01:00:00+01:00,1448.3700000000003
2030,sc01,02-03 03:00:00+01:00,1293.8772000000004
2030,sc01,02-03 05:00:00+01:00,1245.5982000000004
2030,sc01,02-03 07:00:00+01:00,1313.1888000000004
2030,sc01,02-03 09:00:00+01:00,1622.1744000000003
2030,sc01,02-03 11:00:00+01:00,1747.6998000000006
2030,sc01,02-03 13:00:00+01:00,1718.7324000000003
2030,sc01,02-03 15:00:00+01:00,1680.1092000000003
2030,sc01,02-03 17:00:00+01:00,1844.2578000000005
2030,sc01,02-03 19:00:00+01:00,1892.5368000000005
2030,sc01,02-03 21:00:00+01:00,1795.9788000000003
2030,sc01,02-03 23:00:00+01:00,1622.1744000000006
2030,sc01,02-04 01:00:00+01:00,1410.7500000000005
2030,sc01,02-04 03:00:00+01:00,1260.2700000000004
2030,sc01,02-04 05:00:00+01:00,1213.2450000000003
2030,sc01,02-04 07:00:00+01:00,1279.0800000000004
2030,sc01,02-04 09:00:00+01:00,1580.0400000000004
2030,sc01,02-04 11:00:00+01:00,1702.3050000000003
2030,sc01,02-04 13:00:00+01:00,1674.0900000000004
2030,sc01,02-04 15:00:00+01:00,1636.4700000000005
2030,sc01,02-04 17:00:00+01:00,1796.3550000000005
2030,sc01,02-04 19:00:00+01:00,1843.3800000000006
2030,sc01,02-04 21:00:00+01:00,1749.3300000000004
2030,sc01,02-04 23:00:00+01:00,1580.0400000000004
2030,sc01,02-05 01:00:00+01:00,1448.8958250000003
2030,sc01,02-05 03:00:00+01:00,1326.2969475000004
2030,sc01,02-05 05:00:00+01:00,1326.2969475000004
2030,sc01,02-05 07:00:00+01:00,1783.2564000000004
2030,sc01,02-05 09:00:00+01:00,2128.7623275000005
2030,sc01,02-05 11:00:00+01:00,2128.7623275000005
2030,sc01,02-05 13:00:00+01:00,2117.6169750000004
2030,sc01,02-05 15:00:00+01:00,2084.1809175000003
2030,sc01,02-05 17:00:00+01:00,2217.9251475000005
2030,sc01,02-05 19:00:00+01:00,2184.4890900000005
2030,sc01,02-05 21:00:00+01:00,1939.2913350000003
2030,sc01,02-05 23:00:00+01:00,1515.7679400000004
2030,sc01,02-06 01:00:00+01:00,1557.9525000000006
2030,sc01,02-06 03:00:00+01:00,1426.1257500000004
2030,sc01,02-06 05:00:00+01:00,1426.1257500000004
2030,sc01,02-06 07:00:00+01:00,1917.4800000000005
2030,sc01,02-06 09:00:00+01:00,2288.9917500000006
2030,sc01,02-06 11:00:00+01:00,2288.9917500000006
2030,sc01,02-06 13:00:00+01:00,2277.0075000000006
2030,sc01,02-06 15:00:00+01:00,2241.0547500000002
2030,sc01,02-06 17:00:00+01:00,2384.8657500000004
2030,sc01,02-06 19:00:00+01:00,2348.9130000000005
2030,sc01,02-06 21:00:00+01:00,2085.2595000000006
2030,sc01,02-06 23:00:00+01:00,1629.8580000000004
2030,sc01,02-07 01:00:00+01:00,1526.7934500000003
2030,sc01,02-07 03:00:00+01:00,1397.6032350000005
2030,sc01,02-07 05:00:00+01:00,1397.6032350000005
2030,sc01,02-07 07:00:00+01:00,1879.1304000000005
2030,sc01,02-07 09:00:00+01:00,2243.2119150000003
2030,sc01,02-07 11:00:00+01:00,2243.2119150000003
2030,sc01,02-07 13:00:00+01:00,2231.4673500000004
2030,sc01,02-07 15:00:00+01:00,2196.2336550000005
2030,sc01,02-07 17:00:00+01:00,2337.1684350000005
2030,sc01,02-07 19:00:00+01:00,2301.9347400000006
2030,sc01,02-07 21:00:00+01:00,2043.5543100000004
2030,sc01,02-07 23:00:00+01:00,1597.2608400000004
2030,sc01,02-08 01:00:00+01:00,1495.6344000000004
2030,sc01,02-08 03:00:00+01:00,1369.0807200000004
2030,sc01,02-08 05:00:00+01:00,1369.0807200000004
2030,sc01,02-08 07:00:00+01:00,1840.7808000000005
2030,sc01,02-08 09:00:00+01:00,2197.4320800000005
2030,sc01,02-08 11:00:00+01:00,2197.4320800000005
2030,sc01,02-08 13:00:00+01:00,2185.9272000000005
2030,sc01,02-08 15:00:00+01:00,2151.4125600000007
2030,sc01,02-08 17:00:00+01:00,2289.4711200000006
2030,sc01,02-08 19:00:00+01:00,2254.9564800000003
2030,sc01,02-08 21:00:00+01:00,2001.8491200000005
2030,sc01,02-08 23:00:00+01:00,1564.6636800000003
2030,sc01,02-09 01:00:00+01:00,1464.4753500000004
2030,sc01,02-09 03:00:00+01:00,1340.5582050000005
2030,sc01,02-09 05:00:00+01:00,1340.5582050000005
2030,sc01,02-09 07:00:00+01:00,1802.4312000000004
2030,sc01,02-09 09:00:00+01:00,2151.6522450000007
2030,sc01,02-09 11:00:00+01:00,2151.6522450000007
2030,sc01,02-09 13:00:00+01:00,2140.3870500000007
2030,sc01,02-09 15:00:00+01:00,2106.5914650000004
2030,sc01,02-09 17:00:00+01:00,2241.7738050000003
2030,sc01,02-09 19:00:00+01:00,2207.9782200000004
2030,sc01,02-09 21:00:00+01:00,1960.1439300000006
2030,sc01,02-09 23:00:00+01:00,1532.0665200000005
2030,sc01,02-10 01:00:00+01:00,1384.1808750000005
2030,sc01,02-10 03:00:00+01:00,1236.5349150000004
2030,sc01,02-10 05:00:00+01:00,1190.3955525000003
2030,sc01,02-10 07:00:00+01:00,1254.9906600000004
2030,sc01,02-10 09:00:00+01:00,1550.2825800000005
