Period,Scenario,LoadLevel,Demand
2030,sc01,01-04 19:00:00+01:00,560.2245878228039
2030,sc01,01-04 21:00:00+01:00,300.7970678228037
2030,sc01,01-04 23:00:00+01:00,-147.30501217719598
2030,sc01,01-05 01:00:00+01:00,-249.99507217719565
2030,sc01,01-05 03:00:00+01:00,-377.006462177196
2030,sc01,01-05 05:00:00+01:00,-377.006462177196
2030,sc01,01-05 07:00:00+01:00,96.39962782280327
2030,sc01,01-05 09:00:00+01:00,454.34081782280396
2030,sc01,01-05 11:00:00+01:00,454.34081782280396
2030,sc01,01-05 13:00:00+01:00,442.7943278228038
2030,sc01,01-05 15:00:00+01:00,408.1548578228037
2030,sc01,01-05 17:00:00+01:00,546.712737822804
2030,sc01,01-05 19:00:00+01:00,512.0732678228044
2030,sc01,01-05 21:00:00+01:00,258.05048782280414
2030,sc01,01-05 23:00:00+01:00,-180.7161321771964
2030,sc01,01-06 01:00:00+01:00,-332.2945221771961
2030,sc01,01-06 03:00:00+01:00,-483.6272421771964
2030,sc01,01-06 05:00:00+01:00,-530.918717177196
2030,sc01,01-06 07:00:00+01:00,-464.71065217719547
2030,sc01,01-06 09:00:00+01:00,-162.04521217719594
2030,sc01,01-06 11:00:00+01:00,-39.087377177196004
2030,sc01,01-06 13:00:00+01:00,-67.46226217719641
2030,sc01,01-06 15:00:00+01:00,-105.29544217719581
2030,sc01,01-06 17:00:00+01:00,55.49557282280375
2030,sc01,01-06 19:00:00+01:00,102.78704782280397
2030,sc01,01-06 21:00:00+01:00,8.204097822803988
2030,sc01,01-06 23:00:00+01:00,-162.04521217719594
2030,sc01,01-07 01:00:00+01:00,-369.1450221771961
2030,sc01,01-07 03:00:00+01:00,-516.5470221771961
2030,sc01,01-07 05:00:00+01:00,-562.6101471771963
2030,sc01,01-07 07:00:00+01:00,-498.1217721771959
2030,sc01,01-07 09:00:00+01:00,-203.3177721771956
2030,sc01,01-07 11:00:00+01:00,-83.5536471771959
2030,sc01,01-07 13:00:00+01:00,-111.19152217719602
2030,sc01,01-07 15:00:00+01:00,-148.04202217719603
2030,sc01,01-07 17:00:00+01:00,8.572602822803674
2030,sc01,01-07 19:00:00+01:00,54.6357278228038
2030,sc01,01-07 21:00:00+01:00,-37.490522177196
2030,sc01,01-07 23:00:00+01:00,-203.31777217719582
2030,sc01,01-08 01:00:00+01:00,-200.49627217719603
2030,sc01,01-08 03:00:00+01:00,-331.696022177196
2030,sc01,01-08 05:00:00+01:00,-331.696022177196
2030,sc01,01-08 07:00:00+01:00,157.32122782280408
2030,sc01,01-08 09:00:00+01:00,527.0659778228044
2030,sc01,01-08 11:00:00+01:00,527.0659778228039
2030,sc01,01-08 13:00:00+01:00,515.1387278228033
2030,sc01,01-08 15:00:00+01:00,479.3569778228041
2030,sc01,01-08 17:00:00+01:00,622.4839778228036
2030,sc01,01-08 19:00:00+01:00,586.7022278228044
2030,sc01,01-08 21:00:00+01:00,324.3027278228035
2030,sc01,01-08 23:00:00+01:00,-128.93277217719606
2030,sc01,01-09 01:00:00+01:00,-83.7887721771956
2030,sc01,01-09 03:00:00+01:00,-224.86377217719632
2030,sc01,01-09 05:00:00+01:00,-224.86377217719632
2030,sc01,01-09 07:00:00+01:00,300.9612278228044
2030,sc01,01-09 09:00:00+01:00,698.5362278228038
2030,sc01,01-09 11:00:00+01:00,698.5362278228038
2030,sc01,01-09 13:00:00+01:00,685.7112278228044
2030,sc01,01-09 15:00:00+01:00,647.236227822804
2030,sc01,01-09 17:00:00+01:00,801.1362278228037
2030,sc01,01-09 19:00:00+01:00,762.6612278228047
2030,sc01,01-09 21:00:00+01:00,480.5112278228037
2030,sc01,01-09 23:00:00+01:00,-6.838772177196233
2030,sc01,01-10 01:00:00+01:00,-117.13377217719608
2030,sc01,01-10 03:00:00+01:00,-255.38727217719588
2030,sc01,01-10 05:00:00+01:00,-255.38727217719588
2030,sc01,01-10 07:00:00+01:00,259.9212278228042
2030,sc01,01-10 09:00:00+01:00,649.5447278228032
2030,sc01,01-10 11:00:00+01:00,649.5447278228032
2030,sc01,01-10 13:00:00+01:00,636.9762278228038
2030,sc01,01-10 15:00:00+01:00,599.2707278228033
2030,sc01,01-10 17:00:00+01:00,750.0927278228044
2030,sc01,01-10 19:00:00+01:00,712.3872278228043
2030,sc01,01-10 21:00:00+01:00,435.88022782280336
2030,sc01,01-10 23:00:00+01:00,-41.72277217719602
2030,sc01,01-11 01:00:00+01:00,-150.4787721771961
2030,sc01,01-11 03:00:00+01:00,-285.9107721771961
2030,sc01,01-11 05:00:00+01:00,-285.9107721771961
2030,sc01,01-11 07:00:00+01:00,218.88122782280402
2030,sc01,01-11 09:00:00+01:00,600.553227822804
2030,sc01,01-11 11:00:00+01:00,600.553227822804
2030,sc01,01-11 13:00:00+01:00,588.2412278228041
2030,sc01,01-11 15:00:00+01:00,551.305227822804
2030,sc01,01-11 17:00:00+01:00,699.0492278228037
2030,sc01,01-11 19:00:00+01:00,662.1132278228035
2030,sc01,01-11 21:00:00+01:00,391.24922782280396
2030,sc01,01-11 23:00:00+01:00,-76.60677217719604
2030,sc01,01-12 01:00:00+01:00,-183.8237721771959
2030,sc01,01-12 03:00:00+01:00,-316.4342721771959
2030,sc01,01-12 05:00:00+01:00,-316.4342721771959
2030,sc01,01-12 07:00:00+01:00,177.84122782280383
2030,sc01,01-12 09:00:00+01:00,551.5617278228044
2030,sc01,01-12 11:00:00+01:00,551.5617278228044
2030,sc01,01-12 13:00:00+01:00,539.5062278228036
2030,sc01,01-12 15:00:00+01:00,503.33972782280466
2030,sc01,01-12 17:00:00+01:00,648.005727822803
2030,sc01,01-12 19:00:00+01:00,611.8392278228041
2030,sc01,01-12 21:00:00+01:00,346.6182278228041
2030,sc01,01-12 23:00:00+01:00,-111.49077217719582
2030,sc01,01-13 01:00:00+01:00,-269.75127217719614
2030,sc01,01-13 03:00:00+01:00,-427.75527217719605
2030,sc01,01-13 05:00:00+01:00,-477.13152217719585
2030,sc01,01-13 07:00:00+01:00,-408.0047721771962
2030,sc01,01-13 09:00:00+01:00,-91.99677217719614
2030,sc01,01-13 11:00:00+01:00,36.381477822803845
2030,sc01,01-13 13:00:00+01:00,6.755727822804374
2030,sc01,01-13 15:00:00+01:00,-32.74527217719606
2030,sc01,01-13 17:00:00+01:00,135.1339778228039
2030,sc01,01-13 19:00:00+01:00,184.51022782280393
2030,sc01,01-13 21:00:00+01:00,85.75772782280387
2030,sc01,01-13 23:00:00+01:00,-91.99677217719614
2030,sc01,01-14 01:00:00+01:00,-308.2262721771963
2030,sc01,01-14 03:00:00+01:00,-462.1262721771959
2030,sc01,01-14 05:00:00+01:00,-510.2200221771957
2030,sc01,01-14 07:00:00+01:00,-442.8887721771962
2030,sc01,01-14 09:00:00+01:00,-135.08877217719623
2030,sc01,01-14 11:00:00+01:00,-10.045022177196188
2030,sc01,01-14 13:00:00+01:00,-38.901272177196006
2030,sc01,01-14 15:00:00+01:00,-77.37627217719546
2030,sc01,01-14 17:00:00+01:00,86.14247782280404
2030,sc01,01-14 19:00:00+01:00,134.23622782280404
2030,sc01,01-14 21:00:00+01:00,38.048727822804494
2030,sc01,01-14 23:00:00+01:00,-135.08877217719623
2030,sc01,01-15 01:00:00+01:00,-238.39842217719593
2030,sc01,01-15 03:00:00+01:00,-366.39106717719596
2030,sc01,01-15 05:00:00+01:00,-366.39106717719596
2030,sc01,01-15 07:00:00+01:00,110.67242782280368
2030,sc01,01-15 09:00:00+01:00,471.37897282280414
2030,sc01,01-15 11:00:00+01:00,471.37897282280414
2030,sc01,01-15 13:00:00+01:00,459.74327782280375
2030,sc01,01-15 15:00:00+01:00,424.8361928228044
2030,sc01,01-15 17:00:00+01:00,564.464532822805
2030,sc01,01-15 19:00:00+01:00,529.5574478228039
2030,sc01,01-15 21:00:00+01:00,273.572157822804
2030,sc01,01-15 23:00:00+01:00,-168.5842521771956
2030,sc01,01-16 01:00:00+01:00,-124.5437721771957
2030,sc01,01-16 03:00:00+01:00,-262.170272177196
2030,sc01,01-16 05:00:00+01:00,-262.170272177196
2030,sc01,01-16 07:00:00+01:00,250.801227822805
2030,sc01,01-16 09:00:00+01:00,638.657727822804
2030,sc01,01-16 11:00:00+01:00,638.657727822804
2030,sc01,01-16 13:00:00+01:00,626.1462278228043
2030,sc01,01-16 15:00:00+01:00,588.6117278228041
2030,sc01,01-16 17:00:00+01:00,738.7497278228045
2030,sc01,01-16 19:00:00+01:00,701.2152278228039
2030,sc01,01-16 21:00:00+01:00,425.9622278228037
2030,sc01,01-16 23:00:00+01:00,-49.4747721771962
2030,sc01,01-17 01:00:00+01:00,-157.07367217719593
2030,sc01,01-17 03:00:00+01:00,-291.9476421771958
2030,sc01,01-17 05:00:00+01:00,-291.9476421771958
2030,sc01,01-17 07:00:00+01:00,210.764427822804
2030,sc01,01-17 09:00:00+01:00,590.8637978228041
2030,sc01,01-17 11:00:00+01:00,590.8637978228041
2030,sc01,01-17 13:00:00+01:00,578.6025278228046
2030,sc01,01-17 15:00:00+01:00,541.8187178228043
2030,sc01,01-17 17:00:00+01:00,688.9539578228043
2030,sc01,01-17 19:00:00+01:00,652.170147822804
2030,sc01,01-17 21:00:00+01:00,382.42220782280424
2030,sc01,01-17 23:00:00+01:00,-83.5060521771959
2030,sc01,01-18 01:00:00+01:00,-189.60357217719547
2030,sc01,01-18 03:00:00+01:00,-321.7250121771958
2030,sc01,01-18 05:00:00+01:00,-321.7250121771958
2030,sc01,01-18 07:00:00+01:00,170.72762782280415
2030,sc01,01-18 09:00:00+01:00,543.0698678228039
2030,sc01,01-18 11:00:00+01:00,543.0698678228039
2030,sc01,01-18 13:00:00+01:00,531.058827822804
2030,sc01,01-18 15:00:00+01:00,495.02570782280395
2030,sc01,01-18 17:00:00+01:00,639.1581878228042
2030,sc01,01-18 19:00:00+01:00,603.1250678228046
2030,sc01,01-18 21:00:00+01:00,338.8821878228043
2030,sc01,01-18 23:00:00+01:00,-117.53733217719605
2030,sc01,01-19 01:00:00+01:00,-222.1334721771957
2030,sc01,01-19 03:00:00+01:00,-351.50238217719584
2030,sc01,01-19 05:00:00+01:00,-351.50238217719584
2030,sc01,01-19 07:00:00+01:00,130.69082782280407
2030,sc01,01-19 09:00:00+01:00,495.27593782280405
2030,sc01,01-19 11:00:00+01:00,495.27593782280405
2030,sc01,01-19 13:00:00+01:00,483.5151278228043
2030,sc01,01-19 15:00:00+01:00,448.23269782280363
2030,sc01,01-19 17:00:00+01:00,589.362417822804
2030,sc01,01-19 19:00:00+01:00,554.0799878228033
2030,sc01,01-19 21:00:00+01:00,295.3421678228042
2030,sc01,01-19 23:00:00+01:00,-151.56861217719597
2030,sc01,01-20 01:00:00+01:00,-305.96052217719625
2030,sc01,01-20 03:00:00+01:00,-460.1022021771962
2030,sc01,01-20 05:00:00+01:00,-508.2714771771962
2030,sc01,01-20 07:00:00+01:00,-440.8344921771959
2030,sc01,01-20 09:00:00+01:00,-132.551132177196
2030,sc01,01-20 11:00:00+01:00,-7.311017177195481
2030,sc01,01-20 13:00:00+01:00,-36.2125821771956
2030,sc01,01-20 15:00:00+01:00,-74.7480021771953
2030,sc01,01-20 17:00:00+01:00,89.027532822804
2030,sc01,01-20 19:00:00+01:00,137.19680782280398
2030,sc01,01-20 21:00:00+01:00,40.858257822804035
2030,sc01,01-20 23:00:00+01:00,-132.551132177196
2030,sc01,01-21 01:00:00+01:00,-343.49502217719646
2030,sc01,01-21 03:00:00+01:00,-493.6330221771959
2030,sc01,01-21 05:00:00+01:00,-540.5511471771958
2030,sc01,01-21 07:00:00+01:00,-474.86577217719605
2030,sc01,01-21 09:00:00+01:00,-174.5897721771953
2030,sc01,01-21 11:00:00+01:00,-52.602647177196104
2030,sc01,01-21 13:00:00+01:00,-80.75352217719569
2030,sc01,01-21 15:00:00+01:00,-118.28802217719613
2030,sc01,01-21 17:00:00+01:00,41.23360282280396
2030,sc01,01-21 19:00:00+01:00,88.15172782280388
2030,sc01,01-21 21:00:00+01:00,-5.684522177195731
2030,sc01,01-21 23:00:00+01:00,-174.5897721771953
2030,sc01,01-22 01:00:00+01:00,-314.2027221771957
2030,sc01,01-22 03:00:00+01:00,-435.7811571771954
2030,sc01,01-22 05:00:00+01:00,-435.7811571771954
2030,sc01,01-22 07:00:00+01:00,17.374827822804036
2030,sc01,01-22 09:00:00+01:00,360.00496282280415
2030,sc01,01-22 11:00:00+01:00,360.00496282280415
2030,sc01,01-22 13:00:00+01:00,348.9523778228047
2030,sc01,01-22 15:00:00+01:00,315.79462282280406
2030,sc01,01-22 17:00:00+01:00,448.4256428228043
2030,sc01,01-22 19:00:00+01:00,415.2678878228046
2030,sc01,01-22 21:00:00+01:00,172.11101782280434
2030,sc01,01-22 23:00:00+01:00,-247.8872121771958
2030,sc01,01-23 01:00:00+01:00,-206.05377217719592
2030,sc01,01-23 03:00:00+01:00,-336.7832721771956
2030,sc01,01-23 05:00:00+01:00,-336.7832721771956
2030,sc01,01-23 07:00:00+01:00,150.48122782280416
2030,sc01,01-23 09:00:00+01:00,518.9007278228044
2030,sc01,01-23 11:00:00+01:00,518.9007278228044
2030,sc01,01-23 13:00:00+01:00,507.0162278228047
2030,sc01,01-23 15:00:00+01:00,471.3627278228039
2030,sc01,01-23 17:00:00+01:00,613.9767278228048
2030,sc01,01-23 19:00:00+01:00,578.323227822804
2030,sc01,01-23 21:00:00+01:00,316.8642278228042
2030,sc01,01-23 23:00:00+01:00,-134.74677217719568
2030,sc01,01-24 01:00:00+01:00,-236.95347217719586
2030,sc01,01-24 03:00:00+01:00,-365.06838217719564
2030,sc01,01-24 05:00:00+01:00,-365.06838217719564
2030,sc01,01-24 07:00:00+01:00,112.4508278228036
2030,sc01,01-24 09:00:00+01:00,473.50193782280417
2030,sc01,01-24 11:00:00+01:00,473.50193782280417
2030,sc01,01-24 13:00:00+01:00,461.85512782280443
2030,sc01,01-24 15:00:00+01:00,426.9146978228039
2030,sc01,01-24 17:00:00+01:00,566.6764178228038
2030,sc01,01-24 19:00:00+01:00,531.7359878228042
2030,sc01,01-24 21:00:00+01:00,275.50616782280395
2030,sc01,01-24 23:00:00+01:00,-167.07261217719565
2030,sc01,01-25 01:00:00+01:00,-267.8531721771958
2030,sc01,01-25 03:00:00+01:00,-393.35349217719545
2030,sc01,01-25 05:00:00+01:00,-393.35349217719545
2030,sc01,01-25 07:00:00+01:00,74.42042782280441
2030,sc01,01-25 09:00:00+01:00,428.10314782280443
2030,sc01,01-25 11:00:00+01:00,428.10314782280443
2030,sc01,01-25 13:00:00+01:00,416.6940278228042
2030,sc01,01-25 15:00:00+01:00,382.4666678228043
2030,sc01,01-25 17:00:00+01:00,519.3761078228042
2030,sc01,01-25 19:00:00+01:00,485.14874782280435
2030,sc01,01-25 21:00:00+01:00,234.14810782280415
2030,sc01,01-25 23:00:00+01:00,-199.39845217719585
2030,sc01,01-26 01:00:00+01:00,-298.7528721771955
2030,sc01,01-26 03:00:00+01:00,-421.6386021771957
2030,sc01,01-26 05:00:00+01:00,-421.6386021771957
2030,sc01,01-26 07:00:00+01:00,36.39002782280454
2030,sc01,01-26 09:00:00+01:00,382.70435782280424
2030,sc01,01-26 11:00:00+01:00,382.70435782280424
2030,sc01,01-26 13:00:00+01:00,371.5329278228039
2030,sc01,01-26 15:00:00+01:00,338.01863782280384
2030,sc01,01-26 17:00:00+01:00,472.0757978228046
2030,sc01,01-26 19:00:00+01:00,438.56150782280406
2030,sc01,01-26 21:00:00+01:00,192.79004782280458
2030,sc01,01-26 23:00:00+01:00,-231.7242921771956
2030,sc01,01-27 01:00:00+01:00,-378.37902217719557
2030,sc01,01-27 03:00:00+01:00,-524.7960621771956
2030,sc01,01-27 05:00:00+01:00,-570.5513871771957
2030,sc01,01-27 07:00:00+01:00,-506.4939321771956
2030,sc01,01-27 09:00:00+01:00,-213.65985217719572
2030,sc01,01-27 11:00:00+01:00,-94.69600717719572
2030,sc01,01-27 13:00:00+01:00,-122.149202177196
2030,sc01,01-27 15:00:00+01:00,-158.75346217719584
2030,sc01,01-27 17:00:00+01:00,-3.1853571771955558
2030,sc01,01-27 19:00:00+01:00,42.5699678228043
2030,sc01,01-27 21:00:00+01:00,-48.94068217719564
2030,sc01,01-27 23:00:00+01:00,-213.65985217719572
2030,sc01,01-28 01:00:00+01:00,-414.0325221771959
2030,sc01,01-28 03:00:00+01:00,-556.6465221771957
2030,sc01,01-28 05:00:00+01:00,-601.2133971771957
2030,sc01,01-28 07:00:00+01:00,-538.8197721771958
2030,sc01,01-28 09:00:00+01:00,-253.59177217719594
2030,sc01,01-28 11:00:00+01:00,-137.7178971771957
2030,sc01,01-28 13:00:00+01:00,-164.45802217719597
2030,sc01,01-28 15:00:00+01:00,-200.11152217719564
2030,sc01,01-28 17:00:00+01:00,-48.584147177195746
2030,sc01,01-28 19:00:00+01:00,-4.017272177195309
2030,sc01,01-28 21:00:00+01:00,-93.15102217719573
2030,sc01,01-28 23:00:00+01:00,-253.59177217719594
2030,sc01,01-29 01:00:00+01:00,-234.9527721771958
2030,sc01,01-29 03:00:00+01:00,-363.23697217719587
2030,sc01,01-29 05:00:00+01:00,-363.23697217719587
2030,sc01,01-29 07:00:00+01:00,114.91322782280463
2030,sc01,01-29 09:00:00+01:00,476.4414278228048
2030,sc01,01-29 11:00:00+01:00,476.4414278228048
2030,sc01,01-29 13:00:00+01:00,464.7792278228046
2030,sc01,01-29 15:00:00+01:00,429.792627822804
2030,sc01,01-29 17:00:00+01:00,569.7390278228052
2030,sc01,01-29 19:00:00+01:00,534.7524278228045
2030,sc01,01-29 21:00:00+01:00,278.1840278228042
2030,sc01,01-29 23:00:00+01:00,-164.97957217719568
2030,sc01,01-30 01:00:00+01:00,-120.83877217719555
2030,sc01,01-30 03:00:00+01:00,-258.7787721771954
2030,sc01,01-30 05:00:00+01:00,-258.7787721771954
2030,sc01,01-30 07:00:00+01:00,255.36122782280404
2030,sc01,01-30 09:00:00+01:00,644.1012278228038
2030,sc01,01-30 11:00:00+01:00,644.1012278228038
2030,sc01,01-30 13:00:00+01:00,631.5612278228039
2030,sc01,01-30 15:00:00+01:00,593.9412278228044
2030,sc01,01-30 17:00:00+01:00,744.421227822804
2030,sc01,01-30 19:00:00+01:00,706.801227822805
2030,sc01,01-30 21:00:00+01:00,430.9212278228049
2030,sc01,01-30 23:00:00+01:00,-45.59877217719577
2030,sc01,01-31 01:00:00+01:00,-153.4427721771956
2030,sc01,01-31 03:00:00+01:00,-288.6239721771956
2030,sc01,01-31 05:00:00+01:00,-288.6239721771956
2030,sc01,01-31 07:00:00+01:00,215.23322782280434
2030,sc01,01-31 09:00:00+01:00,596.1984278228044
2030,sc01,01-31 11:00:00+01:00,596.1984278228044
2030,sc01,01-31 13:00:00+01:00,583.9092278228047
2030,sc01,01-31 15:00:00+01:00,547.0416278228038
2030,sc01,01-31 17:00:00+01:00,694.5120278228048
2030,sc01,01-31 19:00:00+01:00,657.6444278228034
2030,sc01,01-31 21:00:00+01:00,387.2820278228039
2030,sc01,01-31 23:00:00+01:00,-79.70757217719574
2030,sc01,02-01 01:00:00+01:00,-186.0467721771954
2030,sc01,02-01 03:00:00+01:00,-318.46917217719556
2030,sc01,02-01 05:00:00+01:00,-318.46917217719556
2030,sc01,02-01 07:00:00+01:00,175.1052278228044
2030,sc01,02-01 09:00:00+01:00,548.2956278228041
2030,sc01,02-01 11:00:00+01:00,548.2956278228041
2030,sc01,02-01 13:00:00+01:00,536.2572278228038
2030,sc01,02-01 15:00:00+01:00,500.1420278228045
2030,sc01,02-01 17:00:00+01:00,644.6028278228043
2030,sc01,02-01 19:00:00+01:00,608.487627822805
2030,sc01,02-01 21:00:00+01:00,343.6428278228043
2030,sc01,02-01 23:00:00+01:00,-113.81637217719549
2030,sc01,02-02 01:00:00+01:00,-218.65077217719568
2030,sc01,02-02 03:00:00+01:00,-348.314372177196
2030,sc01,02-02 05:00:00+01:00,-348.314372177196
2030,sc01,02-02 07:00:00+01:00,134.97722782280448
2030,sc01,02-02 09:00:00+01:00,500.39282782280475
2030,sc01,02-02 11:00:00+01:00,500.39282782280475
2030,sc01,02-02 13:00:00+01:00,488.60522782280464
2030,sc01,02-02 15:00:00+01:00,453.24242782280476
2030,sc01,02-02 17:00:00+01:00,594.6936278228047
2030,sc01,02-02 19:00:00+01:00,559.3308278228044
2030,sc01,02-02 21:00:00+01:00,300.0036278228042
2030,sc01,02-02 23:00:00+01:00,-147.92517217719592
2030,sc01,02-03 01:00:00+01:00,-302.6687721771955
2030,sc01,02-03 03:00:00+01:00,-457.16157217719547
2030,sc01,02-03 05:00:00+01:00,-505.4405721771957
2030,sc01,02-03 07:00:00+01:00,-437.84997217719547
2030,sc01,02-03 09:00:00+01:00,-128.8643721771955
2030,sc01,02-03 11:00:00+01:00,-3.338972177195501
2030,sc01,02-03 13:00:00+01:00,-32.306372177195726
2030,sc01,02-03 15:00:00+01:00,-70.9295721771955
2030,sc01,02-03 17:00:00+01:00,93.21902782280472
2030,sc01,02-03 19:00:00+01:00,141.4980278228045
2030,sc01,02-03 21:00:00+01:00,44.94002782280472
2030,sc01,02-03 23:00:00+01:00,-128.8643721771955
2030,sc01,02-04 01:00:00+01:00,-340.28877217719514
2030,sc01,02-04 03:00:00+01:00,-490.76877217719584
2030,sc01,02-04 05:00:00+01:00,-537.7937721771957
2030,sc01,02-04 07:00:00+01:00,-471.95877217719567
2030,sc01,02-04 09:00:00+01:00,-170.99877217719563
2030,sc01,02-04 11:00:00+01:00,-48.73377217719553
2030,sc01,02-04 13:00:00+01:00,-76.94877217719545
2030,sc01,02-04 15:00:00+01:00,-114.56877217719557
2030,sc01,02-04 17:00:00+01:00,45.316227822804194
2030,sc01,02-04 19:00:00+01:00,92.34122782280474
2030,sc01,02-04 21:00:00+01:00,-1.708772177195442
2030,sc01,02-04 23:00:00+01:00,-170.99877217719563
2030,sc01,02-05 01:00:00+01:00,-302.14294717719577
2030,sc01,02-05 03:00:00+01:00,-424.74182467719515
2030,sc01,02-05 05:00:00+01:00,-424.74182467719515
2030,sc01,02-05 07:00:00+01:00,32.21762782280439
2030,sc01,02-05 09:00:00+01:00,377.7235553228045
2030,sc01,02-05 11:00:00+01:00,377.7235553228045
2030,sc01,02-05 13:00:00+01:00,366.5782028228043
2030,sc01,02-05 15:00:00+01:00,333.14214532280425
2030,sc01,02-05 17:00:00+01:00,466.88637532280495
2030,sc01,02-05 19:00:00+01:00,433.450317822804
2030,sc01,02-05 21:00:00+01:00,188.25256282280452
2030,sc01,02-05 23:00:00+01:00,-235.27083217719564
2030,sc01,02-06 01:00:00+01:00,-193.0862721771955
2030,sc01,02-06 03:00:00+01:00,-324.91302217719544
2030,sc01,02-06 05:00:00+01:00,-324.91302217719544
2030,sc01,02-06 07:00:00+01:00,166.44122782280374
2030,sc01,02-06 09:00:00+01:00,537.952977822805
2030,sc01,02-06 11:00:00+01:00,537.952977822805
2030,sc01,02-06 13:00:00+01:00,525.9687278228046
2030,sc01,02-06 15:00:00+01:00,490.0159778228042
2030,sc01,02-06 17:00:00+01:00,633.8269778228048
2030,sc01,02-06 19:00:00+01:00,597.8742278228044
2030,sc01,02-06 21:00:00+01:00,334.2207278228045
2030,sc01,02-06 23:00:00+01:00,-121.1807721771961
2030,sc01,02-07 01:00:00+01:00,-224.2453221771957
2030,sc01,02-07 03:00:00+01:00,-353.43553717719556
2030,sc01,02-07 05:00:00+01:00,-353.43553717719556
2030,sc01,02-07 07:00:00+01:00,128.0916278228044
2030,sc01,02-07 09:00:00+01:00,492.1731428228047
2030,sc01,02-07 11:00:00+01:00,492.1731428228047
2030,sc01,02-07 13:00:00+01:00,480.4285778228043
2030,sc01,02-07 15:00:00+01:00,445.1948828228044
2030,sc01,02-07 17:00:00+01:00,586.1296628228044
2030,sc01,02-07 19:00:00+01:00,550.8959678228046
2030,sc01,02-07 21:00:00+01:00,292.5155378228046
2030,sc01,02-07 23:00:00+01:00,-153.7779321771959
2030,sc01,02-08 01:00:00+01:00,-255.40437217719523
2030,sc01,02-08 03:00:00+01:00,-381.95805217719544
2030,sc01,02-08 05:00:00+01:00,-381.95805217719544
2030,sc01,02-08 07:00:00+01:00,89.7420278228044
2030,sc01,02-08 09:00:00+01:00,446.39330782280445
2030,sc01,02-08 11:00:00+01:00,446.39330782280445
2030,sc01,02-08 13:00:00+01:00,434.8884278228045
2030,sc01,02-08 15:00:00+01:00,400.3737878228046
2030,sc01,02-08 17:00:00+01:00,538.432347822805
2030,sc01,02-08 19:00:00+01:00,503.9177078228038
2030,sc01,02-08 21:00:00+01:00,250.81034782280494
2030,sc01,02-08 23:00:00+01:00,-186.37509217719548
2030,sc01,02-09 01:00:00+01:00,-286.5634221771952
2030,sc01,02-09 03:00:00+01:00,-410.48056717719555
2030,sc01,02-09 05:00:00+01:00,-410.48056717719555
2030,sc01,02-09 07:00:00+01:00,51.392427822804166
2030,sc01,02-09 09:00:00+01:00,400.6134728228046
2030,sc01,02-09 11:00:00+01:00,400.6134728228046
2030,sc01,02-09 13:00:00+01:00,389.3482778228047
