,,,Length,LineType,Voltage,LossFactor,Resistance,Reactance,Susceptance,Tap,TTC,TTCBck,SecurityFactor,FixedCost,FixedChargeRate,BinaryInvestment,Switching,SwOnTime,SwOffTime,Converter,AngMin,AngMax
N_116,N_117,eac1,57.93624,AC,230,0.01,0.00165,0.01295,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_116,N_119,eac1,28.96812,AC,230,0.01,0.0015,0.01155,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_117,N_118,eac1,25.74944,AC,230,0.01,0.0009,0.0072,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_117,N_122,eac1,16.0934,AC,230,0.01,0.00675,0.05265,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_118,N_121,eac1,117.48182,AC,230,0.01,0.00165,0.01295,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_118,N_121,eac2,28.96812,AC,230,0.01,0.00165,0.01295,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_119,N_120,eac1,44.25685,AC,230,0.01,0.00255,0.0198,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_119,N_120,eac2,44.25685,AC,230,0.01,0.00255,0.0198,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_120,N_123,eac1,24.1401,AC,230,0.01,0.0014,0.0108,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_120,N_123,eac2,24.1401,AC,230,0.01,0.0014,0.0108,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_121,N_122,eac1,75.63898,AC,230,0.01,0.00435,0.0339,,1,1000,,0.55,,,,,,,,-1.570796327,1.570796327
N_101,N_102,cac1,4.82802,AC,138,0.01,0.0013,0.00695,,1,350,,0.55,7.04,0.0075,Yes,,,,,-1.570796327,1.570796327
N_101,N_103,cac1,88.5137,AC,138,0.01,0.0273,0.1056,,1,350,,0.55,106.92,0.0075,Yes,,,,,-1.570796327,1.570796327
N_101,N_105,cac1,35.40548,AC,138,0.01,0.0109,0.04225,,1,350,,0.55,42.78,0.0075,Yes,,,,,-1.570796327,1.570796327
N_102,N_104,cac1,53.10822,AC,138,0.01,0.0164,0.06335,,1,350,,0.55,64.14,0.0075,Yes,,,,,-1.570796327,1.570796327
N_102,N_106,cac1,80.467,AC,138,0.01,0.02485,0.096,,1,350,,0.55,97.2,0.0075,Yes,,,,,-1.570796327,1.570796327
N_103,N_109,cac1,49.88954,AC,138,0.01,0.0154,0.0595,,1,350,,0.55,60.24,0.0075,Yes,,,,,-1.570796327,1.570796327
N_103,N_124,cac1,0.160934,AC,,0.01,0.0115,0.04195,,1.015,800,,0.55,42.47,0.0075,Yes,,,,,-1.570796327,1.570796327
N_104,N_109,cac1,43.45218,AC,138,0.01,0.0134,0.05185,,1,350,,0.55,52.5,0.0075,Yes,,,,,-1.570796327,1.570796327
N_105,N_110,cac1,37.01482,AC,138,0.01,0.0114,0.04415,,1,350,,0.55,44.7,0.0075,Yes,,,,,-1.570796327,1.570796327
N_106,N_108,cac1,25.74944,AC,138,0.01,0.00795,0.0307,,1,350,,0.55,31.08,0.0075,Yes,,,,,-1.570796327,1.570796327
N_106,N_110,cac1,25.74944,AC,138,0.01,0.00695,0.03025,,1,350,,0.55,30.63,0.0075,Yes,,,,,-1.570796327,1.570796327
N_107,N_108,cac1,25.74944,AC,138,0.01,0.00795,0.0307,,1,350,,0.55,31.08,0.0075,Yes,,,,,-1.570796327,1.570796327
N_108,N_109,cac1,69.20162,AC,138,0.01,0.02135,0.08255,,1,350,,0.55,83.58,0.0075,Yes,,,,,-1.570796327,1.570796327
N_108,N_110,cac1,69.20162,AC,138,0.01,0.02135,0.08255,,1,350,,0.55,83.58,0.0075,Yes,,,,,-1.570796327,1.570796327
N_109,N_111,cac1,0.160934,AC,138,0.01,0.00115,0.04195,,1.03,800,,0.55,42.47,0.0075,Yes,,,,,-1.570796327,1.570796327
N_109,N_112,cac1,0.160934,AC,,0.01,0.00115,0.04195,,1.03,800,,0.55,42.47,0.0075,Yes,,,,,-1.570796327,1.570796327
N_110,N_111,cac1,0.160934,AC,138,0.01,0.00115,0.04195,,1.015,800,,0.55,42.47,0.0075,Yes,,,,,-1.570796327,1.570796327
N_110,N_112,cac1,0.160934,AC,,0.01,0.00115,0.04195,,1.015,800,,0.55,42.47,0.0075,Yes,,,,,-1.570796327,1.570796327
N_111,N_113,cac1,53.10822,AC,230,0.01,0.00305,0.0238,,1,1000,,0.55,24.1,0.0075,Yes,,,,,-1.570796327,1.570796327
N_111,N_114,cac1,46.67086,AC,230,0.01,0.0027,0.0209,,1,1000,,0.55,21.16,0.0075,Yes,,,,,-1.570796327,1.570796327
N_112,N_113,cac1,53.10822,AC,230,0.01,0.00305,0.0238,,1,1000,,0.55,24.1,0.0075,Yes,,,,,-1.570796327,1.570796327
N_112,N_123,cac1,107.82578,AC,230,0.01,0.0062,0.0483,,1,1000,,0.55,48.9,0.0075,Yes,,,,,-1.570796327,1.570796327
N_113,N_123,cac1,96.5604,AC,230,0.01,0.00555,0.04325,,1,1000,,0.55,43.79,0.0075,Yes,,,,,-1.570796327,1.570796327
N_114,N_116,cac1,43.45218,AC,230,0.01,0.0025,0.01945,,1,1000,,0.55,19.7,0.0075,Yes,,,,,-1.570796327,1.570796327
N_115,N_116,cac1,19.31208,AC,230,0.01,0.0011,0.00865,,1,1000,,0.55,8.76,0.0075,Yes,,,,,-1.570796327,1.570796327
N_115,N_121,cac1,54.71756,AC,230,0.01,0.00315,0.0245,,1,1000,,0.55,24.81,0.0075,Yes,,,,,-1.570796327,1.570796327
N_115,N_124,cac1,57.93624,AC,230,0.01,0.00335,0.02595,,1,1000,,0.55,26.27,0.0075,Yes,,,,,-1.570796327,1.570796327
N_116,N_117,cac1,28.96812,AC,230,0.01,0.00165,0.01295,,1,1000,,0.55,13.11,0.0075,Yes,,,,,-1.570796327,1.570796327
N_116,N_119,cac1,25.74944,AC,230,0.01,0.0015,0.01155,,1,1000,,0.55,11.7,0.0075,Yes,,,,,-1.570796327,1.570796327
N_117,N_118,cac1,16.0934,AC,230,0.01,0.0009,0.0072,,1,1000,,0.55,7.29,0.0075,Yes,,,,,-1.570796327,1.570796327
N_117,N_122,cac1,117.48182,AC,230,0.01,0.00675,0.05265,,1,1000,,0.55,53.31,0.0075,Yes,,,,,-1.570796327,1.570796327
N_118,N_121,cac1,28.96812,AC,230,0.01,0.00165,0.01295,,1,1000,,0.55,13.11,0.0075,Yes,,,,,-1.570796327,1.570796327
N_119,N_120,cac1,44.25685,AC,230,0.01,0.00255,0.0198,,1,1000,,0.55,20.05,0.0075,Yes,,,,,-1.570796327,1.570796327
N_120,N_123,cac1,24.1401,AC,230,0.01,0.0014,0.0108,,1,1000,,0.55,10.93,0.0075,Yes,,,,,-1.570796327,1.570796327
N_121,N_122,cac1,75.63898,AC,230,0.01,0.00435,0.0339,,1,1000,,0.55,34.32,0.0075,Yes,,,,,-1.570796327,1.570796327
