,,,OL_PSH1,OL_PSH2,Hydro1,Hydro2,Nuclear1,Nuclear2,Coal1,Coal2,CCGT1,CCGT2,CCGT3,CCGT4,CCGT5,CCGT6,CCGT7,Cogeneration1,Cogeneration2,SolarPV1,SolarPV2,SolarPV3,SolarPV4,SolarPV5,SolarPV6,Wind1,Wind2,Wind3,Wind4,Wind5,CL_PSH1,CL_PSH2
sc2015,y2030,2030-01-03T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-03T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-03T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-03T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-03T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-03T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-03T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-03T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T11:00:00+01:00,5886.580504,2782.806387,2003.620598,1217.328779,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-04T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T11:00:00+01:00,3179.959091,2736.405804,1970.212179,1209.763458,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-05T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T11:00:00+01:00,2237.001368,2741.036413,1973.546218,1192.913425,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-06T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T11:00:00+01:00,1942.478779,2376.541413,1711.109818,1147.521504,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-07T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T11:00:00+01:00,1695.855285,2244.332831,1615.919638,1138.580675,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-08T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T11:00:00+01:00,1671.306615,2164.194963,1558.220373,1080.465258,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-09T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T11:00:00+01:00,1542.817834,2084.718609,1500.997399,1030.259046,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc2015,y2030,2030-01-10T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
