,Node,Technology,StorageType,OutflowsType,MustRun,BinaryCommitment,MaximumPower,MinimumPower,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,Availability,FixedCost,FixedChargeRate,BinaryInvestment,Inertia,MaximumReactivePower,MinimumReactivePower
Sub_C16,N_115,Subbituminous,,,,Yes,12,2.4,,,,,,,,10,10,18,18,0.01,24.57252,50000,5,2,2,0.262910069,1,56.2776,0.0075,Yes,,6,0
Sub_C17,N_115,Subbituminous,,,,Yes,12,2.4,,,,,,,,10,10,18,18,0.01,24.57252,50000,5,2,2,0.262910069,1,56.2776,0.0075,Yes,,6,0
Sub_C18,N_115,Subbituminous,,,,Yes,12,2.4,,,,,,,,10,10,18,18,0.02,49.14504,50000,5,2,2,0.262910069,1,56.2776,0.0075,Yes,,6,0
Sub_C19,N_115,Subbituminous,,,,Yes,12,2.4,,,,,,,,10,10,18,18,0.02,49.14504,50000,5,2,2,0.262910069,1,56.2776,0.0075,Yes,,6,0
Sub_C20,N_115,Subbituminous,,,,Yes,12,2.4,,,,,,,,10,10,18,18,0.01,24.57252,50000,5,2,2,0.262910069,1,56.2776,0.0075,Yes,,6,0
Gas_C21,N_115,Gas,,,,Yes,155,54.3,,,,,,,,10,10,3,3,0.01,16.0524,300000,3,1,1,0.247444771,1,196.9946667,0.0075,Yes,,80,-50
Gas_C22,N_116,Gas,,,,Yes,155,54.3,,,,,,,,10,10,3,3,0.02,32.1048,300000,3,1,1,0.247444771,1,196.9946667,0.0075,Yes,,80,-50
Nuc_N23,N_118,Nuclear,,,Yes,Yes,400,400,,,,,,,,,,,,1,10,,20,,,,1,,,,,200,-50
Nuc_N24,N_121,Nuclear,,,Yes,Yes,400,400,,,,,,,,,,,,1,10,,20,,,,1,,,,,200,-50
Hyd_H25,N_122,Hydro,Daily,Daily,,,250,,,,0.25,2.5,0.001,,,,,,,,,,,,,,1,,,,,160,-100
Hyd_H26,N_122,Hydro,Daily,Daily,,,250,,,,0.25,2.5,0.001,,,,,,,,,,,,,,1,,,,,160,-100
Hyd_H27,N_122,Hydro,Daily,Daily,,,250,,,,0.25,2.5,0.001,,,,,,,,,,,,,,1,,,,,160,-100
Pum_H28,N_122,PumpedStorageHydro,Daily,Daily,,,250,,200,,0.25,5,0.001,0.7,,,,,,,,,,,,,1,,,,,160,-100
Pum_H29,N_122,PumpedStorageHydro,Daily,Daily,,,250,,200,,0.25,5,0.001,0.7,,,,,,,,,,,,,1,,,,,160,-100
Pum_H30,N_122,PumpedStorageHydro,Daily,Daily,,,250,,200,,0.25,5,0.001,0.7,,,,,,,,,,,,,1,,,,,160,-100
Gas_C31,N_123,Gas,,,,Yes,155,54.3,,,,,,,,10,10,3,3,0.01,16.0524,300000,3,1,1,0.247444771,1,196.9946667,0.0075,Yes,,80,-50
Gas_C32,N_123,Gas,,,,Yes,155,54.3,,,,,,,,10,10,3,3,0.01,16.0524,300000,3,1,1,0.247444771,1,196.9946667,0.0075,Yes,,80,-50
Gas_C33,N_123,Gas,,,,Yes,700,280,,,,,,,,40,40,3,3,0.01,16.0524,300000,3,1,1,0.247444771,1,889.6533333,0.0075,Yes,,150,-25
Ons_W100,N_117,Onshore_wind,,,,,1600,,,,,,,,,,,,,,,,,,,,0.15,,,,,,
Ons_W101,N_114,Onshore_wind,,,,,1000,,,,,,,,,,,,,,,,,,,,0.15,,,,,,
Ons_W102,N_123,Onshore_wind,,,,,1600,,,,,,,,,,,,,,,,,,,,0.15,,,,,,
Ons_W103,N_113,Onshore_wind,,,,,1000,,,,,,,,,,,,,,,,,,,,0.15,,,,,,
Ons_W104,N_107,Onshore_wind,,,,,1600,,,,,,,,,,,,,,,,,,,,0.15,2793.6,0.0075,Yes,,,
Ons_W105,N_115,Onshore_wind,,,,,1000,,,,,,,,,,,,,,,,,,,,0.15,1746,0.0075,Yes,,,
Sol_S106,N_104,Solar_PV,,,,,600,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,
Sol_S109,N_105,Solar_PV,,,,,600,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,
Sol_S107,N_102,Solar_PV,,,,,600,,,,,,,,,,,,,,,,,,,,0.000001,748.8,0.0075,Yes,,,
Sol_S108,N_116,Solar_PV,,,,,600,,,,,,,,,,,,,,,,,,,,0.000001,748.8,0.0075,Yes,,,
STATCON_SC001,N_116,SynchronousCondenser,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,200,-50
Ant_CG1,N_103,Anthracite,,,,Yes,152,30.4,,,,,,,,100,100,12,12,0.02,43.53552,50000,4,2,2,0.324771262,1,640.8117333,0.0075,Yes,,60,-50
Gas_CG2,N_116,Gas,,,,Yes,310,108.6,,,,,,,,20,20,3,3,0.01,16.0524,300000,3,1,1,0.247444771,1,393.9893333,0.0075,Yes,,160,-100
Sub_CG3,N_113,Subbituminous,,,,Yes,394,138,,,,,,,,160,160,18,18,0.03,94.55292,50000,5,2,2,0.262910069,1,1847.7812,0.0075,Yes,,160,0
ESS_CG4,N_103,ESS,Daily,Daily,,,250,,200,,0.5,5,0.001,0.9,,,,,,,,,,,,,1,291.25,0.0075,Yes,,,
ESS_CG5,N_109,ESS,Daily,Daily,,,250,,200,,0.5,5,0.001,0.9,,,,,,,,,,,,,1,291.25,0.0075,Yes,,,
ESS_CG6,N_110,ESS,Daily,Daily,,,250,,200,,0.5,5,0.001,0.9,,,,,,,,,,,,,1,291.25,0.0075,Yes,,,
ESS_CG7,N_111,ESS,Daily,Daily,,,250,,200,,0.5,5,0.001,0.9,,,,,,,,,,,,,1,291.25,0.0075,Yes,,,
ESS_CG8,N_112,ESS,Daily,Daily,,,250,,200,,0.5,5,0.001,0.9,,,,,,,,,,,,,1,291.25,0.0075,Yes,,,
ESS_CG9,N_124,ESS,Daily,Daily,,,250,,200,,0.5,5,0.001,0.9,,,,,,,,,,,,,1,291.25,0.0075,Yes,,,
Ons_CG10,N_117,Onshore_wind,,,,,1600,0,,,,,,,,,,,,,,,,,,,0.15,2793.6,0.0075,Yes,,,
Sol_CG11,N_104,Solar_PV,,,,,600,0,,,,,,,,,,,,,,,,,,,0.000001,748.8,0.0075,Yes,,,
STATCON_CG12,N_106,SynchronousCondenser,,,,,0,0,,,,,,,,,,,,,,,,,,,1,18,0.0075,Yes,,300,-100
STATCON_CG13,N_120,SynchronousCondenser,,,,,0,0,,,,,,,,,,,,,,,,,,,1,18,0.0075,Yes,,300,-100
