,,,Demand,Solar,Wind,Hydro
sc01,y2030,2030-01-01T23:00:00+01:00,3453.596868,0.57,1438.7,155.8
sc01,y2030,2030-01-02T00:00:00+01:00,3304.32247,0.57,1440.5,147.4
sc01,y2030,2030-01-02T01:00:00+01:00,3238.814285,0.57,1445.8,231
sc01,y2030,2030-01-02T02:00:00+01:00,3206.44546,0.57,1415.9,209.8
sc01,y2030,2030-01-02T03:00:00+01:00,3225.951536,0.57,1403.5,202.2
sc01,y2030,2030-01-02T04:00:00+01:00,3340.176883,0.57,1415.3,200.2
sc01,y2030,2030-01-02T05:00:00+01:00,3589.510878,0.57,1462.3,181.8
sc01,y2030,2030-01-02T06:00:00+01:00,3856.578952,0.57,1477.4,243.2
sc01,y2030,2030-01-02T07:00:00+01:00,3866.832072,817.01,1479.7,290.2
sc01,y2030,2030-01-02T08:00:00+01:00,3914.199464,1359.61,1488,311.2
sc01,y2030,2030-01-02T09:00:00+01:00,3960.705282,1746,1514.3,307
sc01,y2030,2030-01-02T10:00:00+01:00,4000.194398,1960.3,1522.21,331.8
sc01,y2030,2030-01-02T11:00:00+01:00,4032.146723,1877.11,1518.81,362.2
sc01,y2030,2030-01-02T12:00:00+01:00,4030.866206,1835.81,1534.51,336.2
sc01,y2030,2030-01-02T13:00:00+01:00,4049.692653,1698.11,1497.31,328.2
sc01,y2030,2030-01-02T14:00:00+01:00,4035.105828,1417.01,1465.91,232.6
sc01,y2030,2030-01-02T15:00:00+01:00,3993.972271,829.51,1525.81,231.6
sc01,y2030,2030-01-02T16:00:00+01:00,4113.936523,0.57,1680.2,239.2
sc01,y2030,2030-01-02T17:00:00+01:00,4541.270659,0.57,1557.7,242.4
sc01,y2030,2030-01-02T18:00:00+01:00,4519.404825,0.57,1556.5,243.4
sc01,y2030,2030-01-02T19:00:00+01:00,4396.128147,0.57,1516.41,254.6
sc01,y2030,2030-01-02T20:00:00+01:00,4230.415438,0.57,1475.8,249.4
sc01,y2030,2030-01-02T21:00:00+01:00,3961.808562,0.57,1631.1,237.6
sc01,y2030,2030-01-02T22:00:00+01:00,3654.622537,0.57,1845.1,282.4
sc01,y2030,2030-01-02T23:00:00+01:00,3408.88239,0.57,1851.2,198.8
sc01,y2030,2030-01-03T00:00:00+01:00,3268.125923,0.57,1893.2,205.8
sc01,y2030,2030-01-03T01:00:00+01:00,3191.466141,0.57,2123.5,210
sc01,y2030,2030-01-03T02:00:00+01:00,3165.812642,0.57,2347.8,193
sc01,y2030,2030-01-03T03:00:00+01:00,3183.587663,0.57,2372,161.6
sc01,y2030,2030-01-03T04:00:00+01:00,3283.288249,0.57,2225.4,155.2
sc01,y2030,2030-01-03T05:00:00+01:00,3532.166727,0.57,2200,184
sc01,y2030,2030-01-03T06:00:00+01:00,3800.232163,0.57,2272,290
sc01,y2030,2030-01-03T07:00:00+01:00,3831.668974,804.61,2262.9,290.4
sc01,y2030,2030-01-03T08:00:00+01:00,3925.012427,1477.1,2090.9,284
sc01,y2030,2030-01-03T09:00:00+01:00,3978.075719,1954.4,1964,228.4
sc01,y2030,2030-01-03T10:00:00+01:00,4040.035887,2132.3,1899.9,161.4
sc01,y2030,2030-01-03T11:00:00+01:00,4076.101666,1966.2,2061.4,160.4
sc01,y2030,2030-01-03T12:00:00+01:00,4075.642992,2084.2,1749.3,233.2
sc01,y2030,2030-01-03T13:00:00+01:00,4081.639755,1990.6,1850.7,240.4
sc01,y2030,2030-01-03T14:00:00+01:00,4069.301565,1681.5,1685.8,228.4
sc01,y2030,2030-01-03T15:00:00+01:00,4026.396778,938.2,1553.6,244.8
sc01,y2030,2030-01-03T16:00:00+01:00,3976.312271,0.57,1314.9,162
sc01,y2030,2030-01-03T17:00:00+01:00,4451.799923,0.57,507.3,215.2
sc01,y2030,2030-01-03T18:00:00+01:00,4370.271818,0.57,537,222.2
sc01,y2030,2030-01-03T19:00:00+01:00,4226.842913,0.57,748.8,207.6
sc01,y2030,2030-01-03T20:00:00+01:00,4071.27911,0.57,1211.8,220.6
sc01,y2030,2030-01-03T21:00:00+01:00,3879.706211,0.57,1362.3,222.2
sc01,y2030,2030-01-03T22:00:00+01:00,3640.051069,0.57,1287.5,296.2
sc01,y2030,2030-01-03T23:00:00+01:00,3424.957869,0.57,1070.5,179
sc01,y2030,2030-01-04T00:00:00+01:00,3272.427365,0.57,475.4,215.4
sc01,y2030,2030-01-04T01:00:00+01:00,3195.548177,0.57,266.1,216.4
sc01,y2030,2030-01-04T02:00:00+01:00,3158.80343,0.57,149.6,192.4
sc01,y2030,2030-01-04T03:00:00+01:00,3143.663207,0.57,202.5,184.4
sc01,y2030,2030-01-04T04:00:00+01:00,3196.491962,0.57,310.9,169
sc01,y2030,2030-01-04T05:00:00+01:00,3310.219552,0.57,289.4,189.2
sc01,y2030,2030-01-04T06:00:00+01:00,3433.20588,0.57,188,268.2
sc01,y2030,2030-01-04T07:00:00+01:00,3457.286948,822.91,217.1,200.4
sc01,y2030,2030-01-04T08:00:00+01:00,3546.809656,1505.8,195.1,175.2
sc01,y2030,2030-01-04T09:00:00+01:00,3622.943128,1982.5,160.01,181.4
sc01,y2030,2030-01-04T10:00:00+01:00,3648.355578,2165.8,156.92,156
sc01,y2030,2030-01-04T11:00:00+01:00,3623.661643,2025.8,299.61,192.6
sc01,y2030,2030-01-04T12:00:00+01:00,3611.762465,2181.7,535.4,246.2
sc01,y2030,2030-01-04T13:00:00+01:00,3553.194234,2030.1,820,252.6
sc01,y2030,2030-01-04T14:00:00+01:00,3519.14075,1677.1,1373,234
sc01,y2030,2030-01-04T15:00:00+01:00,3490.580605,878.91,1209.1,225.4
sc01,y2030,2030-01-04T16:00:00+01:00,3642.595508,0.57,757.1,194.8
sc01,y2030,2030-01-04T17:00:00+01:00,4071.928697,0.57,1008.5,231
sc01,y2030,2030-01-04T18:00:00+01:00,4093.322064,0.57,1468.1,261.8
sc01,y2030,2030-01-04T19:00:00+01:00,4008.511607,0.57,1945.4,268.8
sc01,y2030,2030-01-04T20:00:00+01:00,3893.378088,0.57,2280,272.8
sc01,y2030,2030-01-04T21:00:00+01:00,3735.368891,0.57,2463.3,283.2
sc01,y2030,2030-01-04T22:00:00+01:00,3541.576155,0.57,2490.1,171.2
sc01,y2030,2030-01-04T23:00:00+01:00,3380.19868,0.57,2362.9,174.4
sc01,y2030,2030-01-05T00:00:00+01:00,3255.312109,0.57,2369.6,151.6
sc01,y2030,2030-01-05T01:00:00+01:00,3186.29604,0.57,2412.8,147.4
sc01,y2030,2030-01-05T02:00:00+01:00,3153.440943,0.57,2387.8,111.4
sc01,y2030,2030-01-05T03:00:00+01:00,3155.548809,0.57,2399.5,125
sc01,y2030,2030-01-05T04:00:00+01:00,3194.020143,0.57,2383.8,134.6
sc01,y2030,2030-01-05T05:00:00+01:00,3276.675067,0.57,2380.2,135.8
sc01,y2030,2030-01-05T06:00:00+01:00,3376.69325,0.57,2401.7,120.4
sc01,y2030,2030-01-05T07:00:00+01:00,3371.102046,822.41,2328.1,208.4
sc01,y2030,2030-01-05T08:00:00+01:00,3417.320537,1515.7,2204,161.6
sc01,y2030,2030-01-05T09:00:00+01:00,3459.828025,1982.7,2320.3,169.4
sc01,y2030,2030-01-05T10:00:00+01:00,3466.810287,2076.6,2105.1,169.2
sc01,y2030,2030-01-05T11:00:00+01:00,3461.020017,2235.6,1620.9,186.2
sc01,y2030,2030-01-05T12:00:00+01:00,3442.893135,2212.7,1543.6,218.6
sc01,y2030,2030-01-05T13:00:00+01:00,3425.809498,2068.9,1320,194.2
sc01,y2030,2030-01-05T14:00:00+01:00,3418.08932,1755.7,1403.5,194.2
sc01,y2030,2030-01-05T15:00:00+01:00,3413.028477,1049.7,1196.3,189
sc01,y2030,2030-01-05T16:00:00+01:00,3583.970149,0.57,921.9,167
sc01,y2030,2030-01-05T17:00:00+01:00,4035.42604,0.57,341.31,163.4
sc01,y2030,2030-01-05T18:00:00+01:00,4112.40431,0.57,360.5,165.8
sc01,y2030,2030-01-05T19:00:00+01:00,4057.14147,0.57,498.7,162.6
sc01,y2030,2030-01-05T20:00:00+01:00,3913.567885,0.57,789.3,201
sc01,y2030,2030-01-05T21:00:00+01:00,3707.914676,0.57,874.2,209.6
sc01,y2030,2030-01-05T22:00:00+01:00,3469.801293,0.57,1103.2,221.8
sc01,y2030,2030-01-05T23:00:00+01:00,3302.149298,0.57,1509.6,104
sc01,y2030,2030-01-06T00:00:00+01:00,3193.486747,0.57,1935.7,211.8
sc01,y2030,2030-01-06T01:00:00+01:00,3155.725151,0.57,1973.8,203.4
sc01,y2030,2030-01-06T02:00:00+01:00,3138.784901,0.57,2008.1,191.4
sc01,y2030,2030-01-06T03:00:00+01:00,3183.061837,0.57,2241.2,197
sc01,y2030,2030-01-06T04:00:00+01:00,3340.382751,0.57,2228.9,177.8
sc01,y2030,2030-01-06T05:00:00+01:00,3641.79243,0.57,2264.7,149.4
sc01,y2030,2030-01-06T06:00:00+01:00,3950.780885,0.57,2211.9,243.8
sc01,y2030,2030-01-06T07:00:00+01:00,3953.021386,835.91,2250.3,351.6
sc01,y2030,2030-01-06T08:00:00+01:00,3963.477337,1544.6,2353.1,322.4
sc01,y2030,2030-01-06T09:00:00+01:00,3996.329833,2037.6,2428.2,371.4
sc01,y2030,2030-01-06T10:00:00+01:00,4031.080681,2236.7,2360.9,387.2
sc01,y2030,2030-01-06T11:00:00+01:00,4038.410889,2304.6,2301.5,335.8
sc01,y2030,2030-01-06T12:00:00+01:00,3988.946783,2257.3,2202.2,335.2
sc01,y2030,2030-01-06T13:00:00+01:00,3951.635659,2096,2071.2,364.8
sc01,y2030,2030-01-06T14:00:00+01:00,3950.668364,1749,2025,346.2
sc01,y2030,2030-01-06T15:00:00+01:00,3922.328512,1066.4,2052.8,324.8
sc01,y2030,2030-01-06T16:00:00+01:00,4049.022667,0.57,2096.4,333
sc01,y2030,2030-01-06T17:00:00+01:00,4538.265467,0.57,2042.8,401.6
sc01,y2030,2030-01-06T18:00:00+01:00,4567.711475,0.57,2017.7,418
sc01,y2030,2030-01-06T19:00:00+01:00,4453.330782,0.57,1987.2,363
sc01,y2030,2030-01-06T20:00:00+01:00,4297.002734,0.57,2021.7,344.8
sc01,y2030,2030-01-06T21:00:00+01:00,4029.869938,0.57,2145.8,300
sc01,y2030,2030-01-06T22:00:00+01:00,3694.590594,0.57,2118.6,299.6
sc01,y2030,2030-01-06T23:00:00+01:00,3473.046155,0.57,2121.5,313
sc01,y2030,2030-01-07T00:00:00+01:00,3299.158833,0.57,2279.6,157
sc01,y2030,2030-01-07T01:00:00+01:00,3241.935289,0.57,2432.1,198.2
sc01,y2030,2030-01-07T02:00:00+01:00,3228.312006,0.57,2483.5,184.6
sc01,y2030,2030-01-07T03:00:00+01:00,3274.191252,0.57,2486.8,194.6
sc01,y2030,2030-01-07T04:00:00+01:00,3435.388889,0.57,2486.7,196.2
sc01,y2030,2030-01-07T05:00:00+01:00,3742.992694,0.57,2480.7,170.6
sc01,y2030,2030-01-07T06:00:00+01:00,4059.68775,0.57,2492.9,302.6
sc01,y2030,2030-01-07T07:00:00+01:00,4050.485765,851.61,2485.3,347.6
sc01,y2030,2030-01-07T08:00:00+01:00,4007.427948,1456.7,2481.7,355.4
sc01,y2030,2030-01-07T09:00:00+01:00,3990.084221,1987.2,2468.6,310
sc01,y2030,2030-01-07T10:00:00+01:00,3899.735103,1983.1,2410.6,322.6
sc01,y2030,2030-01-07T11:00:00+01:00,4006.900238,2149.7,2389.8,342.4
sc01,y2030,2030-01-07T12:00:00+01:00,3994.424925,2220.2,2385.4,327.2
sc01,y2030,2030-01-07T13:00:00+01:00,3958.499997,2071.9,2380.2,357
sc01,y2030,2030-01-07T14:00:00+01:00,3942.603749,1763.6,2418.4,336.4
sc01,y2030,2030-01-07T15:00:00+01:00,3924.616744,1075.1,2441.4,359
sc01,y2030,2030-01-07T16:00:00+01:00,4061.011021,0.57,2442,410.6
sc01,y2030,2030-01-07T17:00:00+01:00,4523.456821,0.57,2410.8,436
sc01,y2030,2030-01-07T18:00:00+01:00,4553.090858,0.57,2490.7,414
sc01,y2030,2030-01-07T19:00:00+01:00,4456.422947,0.57,2491.9,304.2
sc01,y2030,2030-01-07T20:00:00+01:00,4309.447496,0.57,2492.2,240
sc01,y2030,2030-01-07T21:00:00+01:00,4037.506944,0.57,2430.3,213
sc01,y2030,2030-01-07T22:00:00+01:00,3705.408645,0.57,2475.5,212.2
sc01,y2030,2030-01-07T23:00:00+01:00,3481.846351,0.57,2331.8,216.6
sc01,y2030,2030-01-08T00:00:00+01:00,3344.091702,0.57,1911.3,184.2
sc01,y2030,2030-01-08T01:00:00+01:00,3293.802065,0.57,2179,199
sc01,y2030,2030-01-08T02:00:00+01:00,3286.201899,0.57,2191.4,163.8
sc01,y2030,2030-01-08T03:00:00+01:00,3347.7449,0.57,1885.4,167.8
sc01,y2030,2030-01-08T04:00:00+01:00,3512.968312,0.57,1222.8,162.6
sc01,y2030,2030-01-08T05:00:00+01:00,3859.049565,0.57,1204.4,141
sc01,y2030,2030-01-08T06:00:00+01:00,4218.307615,0.57,1360.4,150.6
sc01,y2030,2030-01-08T07:00:00+01:00,4193.79171,805.61,1831.6,288.6
sc01,y2030,2030-01-08T08:00:00+01:00,4124.030374,1467.2,2307.9,251.4
sc01,y2030,2030-01-08T09:00:00+01:00,4100.296515,1899,2404.5,338.6
sc01,y2030,2030-01-08T10:00:00+01:00,4077.594969,2123.1,2441.1,350.6
sc01,y2030,2030-01-08T11:00:00+01:00,4047.163516,2224,2485.1,349.8
sc01,y2030,2030-01-08T12:00:00+01:00,3989.591177,2234.9,2494,350.2
sc01,y2030,2030-01-08T13:00:00+01:00,3958.501156,2092.5,2501.6,297.8
sc01,y2030,2030-01-08T14:00:00+01:00,3918.828009,1746.9,2498.8,279.8
sc01,y2030,2030-01-08T15:00:00+01:00,3933.856907,1104.5,2489.6,343.8
sc01,y2030,2030-01-08T16:00:00+01:00,4112.781897,0.57,2481.9,325.6
sc01,y2030,2030-01-08T17:00:00+01:00,4576.692413,0.57,2502.2,352.6
sc01,y2030,2030-01-08T18:00:00+01:00,4602.047006,0.57,2492,279.4
sc01,y2030,2030-01-08T19:00:00+01:00,4503.92773,0.57,2439.1,273.8
sc01,y2030,2030-01-08T20:00:00+01:00,4356.648611,0.57,2427.8,279
sc01,y2030,2030-01-08T21:00:00+01:00,4068.092205,0.57,2433,265.4
sc01,y2030,2030-01-08T22:00:00+01:00,3749.600657,0.57,2377.9,277.8
sc01,y2030,2030-01-08T23:00:00+01:00,3511.7858,0.57,2374.8,155.8
sc01,y2030,2030-01-09T00:00:00+01:00,3372.713303,0.57,2387.4,147.4
sc01,y2030,2030-01-09T01:00:00+01:00,3304.503477,0.57,2324.9,231
sc01,y2030,2030-01-09T02:00:00+01:00,3306.833948,0.57,2399.3,209.8
sc01,y2030,2030-01-09T03:00:00+01:00,3360.199568,0.57,2395.1,202.2
sc01,y2030,2030-01-09T04:00:00+01:00,3520.805454,0.57,2332.9,200.2
sc01,y2030,2030-01-09T05:00:00+01:00,3861.507823,0.57,2252.2,181.8
sc01,y2030,2030-01-09T06:00:00+01:00,4171.402491,0.57,2143.4,243.2
sc01,y2030,2030-01-09T07:00:00+01:00,4159.807149,842.71,2026.5,290.2
sc01,y2030,2030-01-09T08:00:00+01:00,4139.838934,1517,1875.6,311.2
sc01,y2030,2030-01-09T09:00:00+01:00,4114.97206,1991.3,1784.6,307
sc01,y2030,2030-01-09T10:00:00+01:00,4041.151479,2192.8,1220.2,331.8
sc01,y2030,2030-01-09T11:00:00+01:00,3990.516691,2264.9,737.2,362.2
sc01,y2030,2030-01-09T12:00:00+01:00,3954.792371,2234.8,489.6,336.2
sc01,y2030,2030-01-09T13:00:00+01:00,3937.081519,2101.9,392.5,328.2
sc01,y2030,2030-01-09T14:00:00+01:00,3904.064305,1791.3,230.6,232.6
sc01,y2030,2030-01-09T15:00:00+01:00,3910.913043,1114.4,334.7,231.6
sc01,y2030,2030-01-09T16:00:00+01:00,4017.872782,0.57,352.6,239.2
sc01,y2030,2030-01-09T17:00:00+01:00,4519.309051,0.57,463.81,242.4
sc01,y2030,2030-01-09T18:00:00+01:00,4559.006867,0.57,1250.5,243.4
sc01,y2030,2030-01-09T19:00:00+01:00,4438.05468,0.57,1469.1,254.6
sc01,y2030,2030-01-09T20:00:00+01:00,4272.737893,0.57,1593.8,249.4
sc01,y2030,2030-01-09T21:00:00+01:00,4000.732969,0.57,1746,237.6
sc01,y2030,2030-01-09T22:00:00+01:00,3689.915715,0.57,1695.4,282.4
sc01,y2030,2030-01-09T23:00:00+01:00,3452.35535,0.57,1821,198.8
sc01,y2030,2030-01-10T00:00:00+01:00,3319.745779,0.57,2003.2,205.8
sc01,y2030,2030-01-10T01:00:00+01:00,3261.476588,0.57,2018.7,210
sc01,y2030,2030-01-10T02:00:00+01:00,3254.985552,0.57,1950.2,193
sc01,y2030,2030-01-10T03:00:00+01:00,3298.529794,0.57,1788.7,161.6
sc01,y2030,2030-01-10T04:00:00+01:00,3450.247601,0.57,1745.3,155.2
sc01,y2030,2030-01-10T05:00:00+01:00,3771.281236,0.57,1803.8,184
sc01,y2030,2030-01-10T06:00:00+01:00,4050.414143,0.57,1977.9,290
sc01,y2030,2030-01-10T07:00:00+01:00,4060.909799,852.81,2025.4,290.4
sc01,y2030,2030-01-10T08:00:00+01:00,4036.413098,1543.3,2095.6,284
sc01,y2030,2030-01-10T09:00:00+01:00,4048.733936,2008.9,2163.3,228.4
sc01,y2030,2030-01-10T10:00:00+01:00,4055.129468,2206.8,2086.8,161.4
sc01,y2030,2030-01-10T11:00:00+01:00,4030.196843,2281.4,1962.1,160.4
sc01,y2030,2030-01-10T12:00:00+01:00,3984.452428,2244.1,1810.6,233.2
sc01,y2030,2030-01-10T13:00:00+01:00,3958.529174,2101.1,1649.6,240.4
sc01,y2030,2030-01-10T14:00:00+01:00,3903.168762,1788.9,1554.6,228.4
sc01,y2030,2030-01-10T15:00:00+01:00,3855.0471,1143.9,1491.4,244.8
sc01,y2030,2030-01-10T16:00:00+01:00,3945.380919,0.57,1519.31,162
sc01,y2030,2030-01-10T17:00:00+01:00,4334.210277,0.57,1511.52,215.2
sc01,y2030,2030-01-10T18:00:00+01:00,4330.508169,0.57,1647.31,222.2
sc01,y2030,2030-01-10T19:00:00+01:00,4215.833701,0.57,1746.8,207.6
sc01,y2030,2030-01-10T20:00:00+01:00,4090.62678,0.57,1532.5,220.6
sc01,y2030,2030-01-10T21:00:00+01:00,3890.679982,0.57,1329.9,222.2
sc01,y2030,2030-01-10T22:00:00+01:00,3645.599182,0.57,1795.2,296.2
sc01,y2030,2030-01-10T23:00:00+01:00,3428.378493,0.57,1770.8,179
sc01,y2030,2030-01-11T00:00:00+01:00,3283.335875,0.57,1546.3,215.4
sc01,y2030,2030-01-11T01:00:00+01:00,3208.807467,0.57,1398.1,216.4
sc01,y2030,2030-01-11T02:00:00+01:00,3172.958355,0.57,1429.5,192.4
sc01,y2030,2030-01-11T03:00:00+01:00,3167.447394,0.57,1605.7,184.4
sc01,y2030,2030-01-11T04:00:00+01:00,3207.893384,0.57,1396.5,169
sc01,y2030,2030-01-11T05:00:00+01:00,3312.753382,0.57,1176.2,189.2
sc01,y2030,2030-01-11T06:00:00+01:00,3446.739676,0.57,782.7,268.2
sc01,y2030,2030-01-11T07:00:00+01:00,3501.763844,613.19,279.8,200.4
sc01,y2030,2030-01-11T08:00:00+01:00,3621.637523,832.03,202.7,175.2
sc01,y2030,2030-01-11T09:00:00+01:00,3714.208065,1027.41,189.3,181.4
sc01,y2030,2030-01-11T10:00:00+01:00,3762.58777,930.3,188.42,156
sc01,y2030,2030-01-11T11:00:00+01:00,3717.427506,968.6,320.9,192.6
sc01,y2030,2030-01-11T12:00:00+01:00,3660.713676,1220.71,605.1,246.2
sc01,y2030,2030-01-11T13:00:00+01:00,3587.90855,1190.82,733.3,252.6
sc01,y2030,2030-01-11T14:00:00+01:00,3540.409636,990.19,690.7,234
sc01,y2030,2030-01-11T15:00:00+01:00,3533.535458,471.99,666.6,225.4
sc01,y2030,2030-01-11T16:00:00+01:00,3669.132333,0.57,835.3,194.8
sc01,y2030,2030-01-11T17:00:00+01:00,4092.054191,0.57,923,231
sc01,y2030,2030-01-11T18:00:00+01:00,4140.528024,0.57,1171.3,261.8
sc01,y2030,2030-01-11T19:00:00+01:00,4054.112746,0.57,1273.9,268.8
sc01,y2030,2030-01-11T20:00:00+01:00,3937.079941,0.57,1651.4,272.8
sc01,y2030,2030-01-11T21:00:00+01:00,3761.511592,0.57,1587.9,283.2
sc01,y2030,2030-01-11T22:00:00+01:00,3546.654907,0.57,1947.6,171.2
sc01,y2030,2030-01-11T23:00:00+01:00,3369.627254,0.57,1884.9,174.4
sc01,y2030,2030-01-12T00:00:00+01:00,3240.377271,0.57,2029.6,151.6
sc01,y2030,2030-01-12T01:00:00+01:00,3165.155966,0.57,1923.1,147.4
sc01,y2030,2030-01-12T02:00:00+01:00,3115.684017,0.57,2181.2,111.4
sc01,y2030,2030-01-12T03:00:00+01:00,3094.178439,0.57,2255.6,125
sc01,y2030,2030-01-12T04:00:00+01:00,3131.83573,0.57,2151.2,134.6
sc01,y2030,2030-01-12T05:00:00+01:00,3221.019463,0.57,2106.4,135.8
sc01,y2030,2030-01-12T06:00:00+01:00,3316.642236,0.57,2051.7,120.4
sc01,y2030,2030-01-12T07:00:00+01:00,3344.169704,865.02,1968,208.4
sc01,y2030,2030-01-12T08:00:00+01:00,3420.91606,1422.91,1907.8,161.6
sc01,y2030,2030-01-12T09:00:00+01:00,3483.93472,2002.1,1920.3,169.4
sc01,y2030,2030-01-12T10:00:00+01:00,3499.251082,2158.6,1730,169.2
sc01,y2030,2030-01-12T11:00:00+01:00,3492.208808,2183.8,1547.9,186.2
sc01,y2030,2030-01-12T12:00:00+01:00,3472.86076,2325.6,1460.1,218.6
sc01,y2030,2030-01-12T13:00:00+01:00,3439.730402,2126.1,1386.6,194.2
sc01,y2030,2030-01-12T14:00:00+01:00,3420.070737,1786.2,1373.2,194.2
sc01,y2030,2030-01-12T15:00:00+01:00,3439.767554,1224.6,1384.4,189
sc01,y2030,2030-01-12T16:00:00+01:00,3610.794907,0.57,1430.8,167
sc01,y2030,2030-01-12T17:00:00+01:00,4157.422993,0.57,1430.7,163.4
sc01,y2030,2030-01-12T18:00:00+01:00,4300.496489,0.57,1586.1,165.8
sc01,y2030,2030-01-12T19:00:00+01:00,4243.379557,0.57,1731.9,162.6
sc01,y2030,2030-01-12T20:00:00+01:00,4115.87874,0.57,1603.9,201
sc01,y2030,2030-01-12T21:00:00+01:00,3941.314349,0.57,1571.6,209.6
sc01,y2030,2030-01-12T22:00:00+01:00,3718.306681,0.57,1544.6,221.8
sc01,y2030,2030-01-12T23:00:00+01:00,3512.559963,0.57,1403.5,104
sc01,y2030,2030-01-13T00:00:00+01:00,3386.046682,0.57,1455.6,120.8
sc01,y2030,2030-01-13T01:00:00+01:00,3316.18526,0.57,1649.9,104.6
sc01,y2030,2030-01-13T02:00:00+01:00,3304.244369,0.57,1552.1,98.2
sc01,y2030,2030-01-13T03:00:00+01:00,3350.762828,0.57,1753.5,103
sc01,y2030,2030-01-13T04:00:00+01:00,3479.956145,0.57,1605.6,142.6
sc01,y2030,2030-01-13T05:00:00+01:00,3729.032139,0.57,1464.6,93
sc01,y2030,2030-01-13T06:00:00+01:00,3978.518348,0.57,1081.5,88.2
sc01,y2030,2030-01-13T07:00:00+01:00,4004.362023,892.81,928,113.6
sc01,y2030,2030-01-13T08:00:00+01:00,4074.149453,1609.2,689,196.6
sc01,y2030,2030-01-13T09:00:00+01:00,4150.681762,2105.8,549.5,104
sc01,y2030,2030-01-13T10:00:00+01:00,4135.448992,2284.7,599.2,90.4
sc01,y2030,2030-01-13T11:00:00+01:00,4060.758644,2357.4,494.1,88.8
sc01,y2030,2030-01-13T12:00:00+01:00,3978.631652,2341.3,488.2,107.4
sc01,y2030,2030-01-13T13:00:00+01:00,3916.694901,2198.5,470.7,99.8
sc01,y2030,2030-01-13T14:00:00+01:00,3857.202858,1907.8,735.4,129.2
sc01,y2030,2030-01-13T15:00:00+01:00,3838.371122,1224.7,987.8,113.4
sc01,y2030,2030-01-13T16:00:00+01:00,4042.261101,0.57,1423.1,114.6
sc01,y2030,2030-01-13T17:00:00+01:00,4595.910136,0.57,2087.5,108.6
sc01,y2030,2030-01-13T18:00:00+01:00,4683.887643,0.57,2225.5,183.4
sc01,y2030,2030-01-13T19:00:00+01:00,4626.124237,0.57,1961.1,195.4
sc01,y2030,2030-01-13T20:00:00+01:00,4467.414207,0.57,2190.5,227
sc01,y2030,2030-01-13T21:00:00+01:00,4202.48616,0.57,2256.3,186.2
sc01,y2030,2030-01-13T22:00:00+01:00,3894.153652,0.57,2133.5,142.6
sc01,y2030,2030-01-13T23:00:00+01:00,3659.251637,0.57,2292.6,100.2
sc01,y2030,2030-01-14T00:00:00+01:00,3511.822639,0.57,2182.2,109
sc01,y2030,2030-01-14T01:00:00+01:00,3450.528434,0.57,2269.6,130.2
sc01,y2030,2030-01-14T02:00:00+01:00,3447.264704,0.57,2397.3,88.6
sc01,y2030,2030-01-14T03:00:00+01:00,3506.674817,0.57,2478.7,107
sc01,y2030,2030-01-14T04:00:00+01:00,3687.201636,0.57,2481.6,173.4
sc01,y2030,2030-01-14T05:00:00+01:00,4071.573927,0.57,2436.4,147.8
sc01,y2030,2030-01-14T06:00:00+01:00,4431.198035,0.57,2184.9,130.6
sc01,y2030,2030-01-14T07:00:00+01:00,4401.852758,879.61,2192.3,153
