,,,Area_1,Area_2,Area_3
2030,sc01,01-02 04:00:00+01:00,54.8917615,54.8646309,57.25245176
2030,sc01,01-02 05:00:00+01:00,61.06135574,57.75814575,60.65604239
2030,sc01,01-02 06:00:00+01:00,63.70546759,61.8180387,67.3054413
2030,sc01,01-02 07:00:00+01:00,61.2376299,60.76381236,71.34016135
2030,sc01,01-02 08:00:00+01:00,58.73453735,60.2030537,76.77238215
2030,sc01,01-02 09:00:00+01:00,57.5182459,59.642295,80.87472321
2030,sc01,01-02 10:00:00+01:00,56.42534635,59.26097905,84.3233945
2030,sc01,01-02 11:00:00+01:00,56.0375433,58.87966315,86.69012969
2030,sc01,01-02 12:00:00+01:00,55.6321128,58.2067527,87.7044448
2030,sc01,01-02 13:00:00+01:00,55.08566305,58.18432235,89.21464725
2030,sc01,01-02 14:00:00+01:00,54.96227115,57.64599401,89.14702625
2030,sc01,01-02 15:00:00+01:00,55.06803565,57.3543995,87.27617841
2030,sc01,01-02 16:00:00+01:00,58.15283274,60.7862427,86.75775069
2030,sc01,01-02 17:00:00+01:00,63.2647823,69.33220526,94.4665454
2030,sc01,01-02 18:00:00+01:00,62.80646956,70.11726745,93.04650426
2030,sc01,01-02 19:00:00+01:00,61.14949284,69.8705336,88.78638091
2030,sc01,01-02 20:00:00+01:00,58.805047,67.94152371,84.77420119
2030,sc01,01-02 21:00:00+01:00,54.7331148,64.1956556,79.16165771
2030,sc01,01-02 22:00:00+01:00,50.46728105,60.33763575,71.92621005
2030,sc01,01-02 23:00:00+01:00,48.19334488,56.7936408,65.4571338
2030,sc01,01-03 00:00:00+01:00,47.43536615,54.9767826,60.99414739
2030,sc01,01-03 01:00:00+01:00,46.64213261,54.32630254,58.6048719
2030,sc01,01-03 02:00:00+01:00,47.0475631,53.8328349,57.41023409
2030,sc01,01-03 03:00:00+01:00,48.54589312,54.034708,56.59878205
2030,sc01,01-03 04:00:00+01:00,52.47680605,55.1113647,56.5762417
2030,sc01,01-03 05:00:00+01:00,58.805047,58.22918305,59.5741063
2030,sc01,01-03 06:00:00+01:00,61.59017815,62.49094915,65.93048085
2030,sc01,01-03 07:00:00+01:00,60.17998515,61.12269795,70.2807656
2030,sc01,01-03 08:00:00+01:00,58.2409698,60.74138201,77.26826956
2030,sc01,01-03 09:00:00+01:00,57.4653637,60.2030537,81.23536855
2030,sc01,01-03 10:00:00+01:00,56.95416875,59.642295,85.4053306
2030,sc01,01-03 11:00:00+01:00,56.3195819,58.92452385,88.56097755
2030,sc01,01-03 12:00:00+01:00,55.84364175,58.4759169,89.46259095
2030,sc01,01-03 13:00:00+01:00,55.50872094,57.73571541,90.8375514
2030,sc01,01-03 14:00:00+01:00,55.13854525,57.4889816,90.8375514
2030,sc01,01-03 15:00:00+01:00,54.997526,57.10766565,89.21464725
2030,sc01,01-03 16:00:00+01:00,57.07756061,54.2590115,87.47904145
2030,sc01,01-03 17:00:00+01:00,61.71357,67.71722019,93.15920595
2030,sc01,01-03 18:00:00+01:00,60.32100445,68.03124511,90.16134135
2030,sc01,01-03 19:00:00+01:00,58.3291069,67.0667401,85.94629866
2030,sc01,01-03 20:00:00+01:00,56.98942355,65.42932475,81.1452072
2030,sc01,01-03 21:00:00+01:00,54.2748021,63.23115065,76.4793578
2030,sc01,01-03 22:00:00+01:00,50.73169224,60.5843696,70.6864916
2030,sc01,01-03 23:00:00+01:00,48.369619,57.5338423,65.34443215
2030,sc01,01-04 00:00:00+01:00,47.38248392,55.4926806,60.74620375
2030,sc01,01-04 01:00:00+01:00,46.71264225,54.66275775,58.40200885
2030,sc01,01-04 02:00:00+01:00,47.08281791,54.3487329,56.5086207
2030,sc01,01-04 03:00:00+01:00,47.69977734,54.14685975,55.33652325
2030,sc01,01-04 04:00:00+01:00,49.93845869,54.75247915,55.13366025
2030,sc01,01-04 05:00:00+01:00,53.1290203,56.0085786,56.3733787
2030,sc01,01-04 06:00:00+01:00,55.94940626,57.44412089,58.26676685
2030,sc01,01-04 07:00:00+01:00,57.14807025,56.34503386,59.3712433
2030,sc01,01-04 08:00:00+01:00,56.84840425,56.90579255,63.586286
2030,sc01,01-04 09:00:00+01:00,56.12568035,57.15252635,67.8689497
2030,sc01,01-04 10:00:00+01:00,55.297192,56.5693373,70.5512496
2030,sc01,01-04 11:00:00+01:00,54.1690376,55.31323785,71.70080671
2030,sc01,01-04 12:00:00+01:00,53.05851065,55.8964269,71.63318571
2030,sc01,01-04 13:00:00+01:00,51.93035625,55.2908075,70.43854795
2030,sc01,01-04 14:00:00+01:00,51.73645475,54.99921296,69.2213698
2030,sc01,01-04 15:00:00+01:00,52.2652771,54.14685975,68.11689341
2030,sc01,01-04 16:00:00+01:00,55.66736765,57.4889816,68.97342615
2030,sc01,01-04 17:00:00+01:00,60.33863186,66.10223515,77.15556785
2030,sc01,01-04 18:00:00+01:00,59.0870856,66.19195655,79.38706104
2030,sc01,01-04 19:00:00+01:00,57.65926521,65.20502125,77.5612939
2030,sc01,01-04 20:00:00+01:00,55.6144854,63.7246183,75.3298007
2030,sc01,01-04 21:00:00+01:00,52.77647205,61.86289941,72.1290731
2030,sc01,01-04 22:00:00+01:00,49.81506681,59.5525736,67.71116735
2030,sc01,01-04 23:00:00+01:00,48.15809005,57.08523531,63.76660865
2030,sc01,01-05 00:00:00+01:00,47.38248392,55.3356682,60.04745335
2030,sc01,01-05 01:00:00+01:00,47.08281791,54.41602395,57.81596015
2030,sc01,01-05 02:00:00+01:00,47.32960168,53.63096175,56.7114837
2030,sc01,01-05 03:00:00+01:00,48.24622711,53.58610105,55.9451123
2030,sc01,01-05 04:00:00+01:00,49.99134092,53.96741695,55.7422493
2030,sc01,01-05 05:00:00+01:00,53.1819025,54.88706125,55.7647896
2030,sc01,01-05 06:00:00+01:00,56.24907225,55.8515662,56.73402405
2030,sc01,01-05 07:00:00+01:00,57.27146215,54.75247915,56.53116101
2030,sc01,01-05 08:00:00+01:00,56.40771895,55.4702503,58.9880576
2030,sc01,01-05 09:00:00+01:00,55.40295646,56.07586965,61.51257515
2030,sc01,01-05 10:00:00+01:00,53.7459797,56.07586965,63.518665
2030,sc01,01-05 11:00:00+01:00,52.68833501,55.7169841,64.64568175
2030,sc01,01-05 12:00:00+01:00,51.577808,55.44781995,65.1190288
2030,sc01,01-05 13:00:00+01:00,50.76694705,55.08893434,65.4345935
2030,sc01,01-05 14:00:00+01:00,50.78457445,54.66275775,65.4571338
2030,sc01,01-05 15:00:00+01:00,51.20763235,54.6403274,64.80346411
2030,sc01,01-05 16:00:00+01:00,55.26193715,57.75814575,66.17842455
2030,sc01,01-05 17:00:00+01:00,60.9908461,65.67605856,75.10439735
2030,sc01,01-05 18:00:00+01:00,60.8321994,66.61813315,78.16988295
2030,sc01,01-05 19:00:00+01:00,59.59828055,65.90036205,77.3584309
2030,sc01,01-05 20:00:00+01:00,57.00705095,63.70218795,74.96915534
2030,sc01,01-05 21:00:00+01:00,53.0232558,61.16755865,71.20491935
2030,sc01,01-05 22:00:00+01:00,49.3743815,58.0048796,66.11080355
2030,sc01,01-05 23:00:00+01:00,48.03469817,55.51511095,61.55765581
2030,sc01,01-06 00:00:00+01:00,47.57638545,54.16929009,57.9286618
2030,sc01,01-06 01:00:00+01:00,47.6468951,53.67582245,56.46354
2030,sc01,01-06 02:00:00+01:00,48.5106383,53.20478515,55.2238216
2030,sc01,01-06 03:00:00+01:00,50.59067295,53.49637965,55.06603926
2030,sc01,01-06 04:00:00+01:00,56.47822861,54.52817566,56.0127333
2030,sc01,01-06 05:00:00+01:00,65.02752349,57.6908547,59.3712433
2030,sc01,01-06 06:00:00+01:00,68.55300595,62.26664571,66.7193926
2030,sc01,01-06 07:00:00+01:00,64.93938645,60.94325515,71.76842771
2030,sc01,01-06 08:00:00+01:00,61.04372835,60.8311034,76.2990351
2030,sc01,01-06 09:00:00+01:00,59.12234046,60.29277505,80.40137615
2030,sc01,01-06 10:00:00+01:00,57.65926521,60.3152054,83.57956345
2030,sc01,01-06 11:00:00+01:00,56.5134834,59.8890288,85.51803226
2030,sc01,01-06 12:00:00+01:00,55.38532905,58.3861955,85.6758146
2030,sc01,01-06 13:00:00+01:00,54.50395845,56.8385015,86.239323
2030,sc01,01-06 14:00:00+01:00,54.34531174,57.33196915,85.8561373
2030,sc01,01-06 15:00:00+01:00,54.66260515,57.06280496,84.3910155
2030,sc01,01-06 16:00:00+01:00,58.4877536,60.1133323,83.85004745
2030,sc01,01-06 17:00:00+01:00,64.67497524,70.3864316,91.8518665
2030,sc01,01-06 18:00:00+01:00,64.69260265,72.51731465,91.17565645
2030,sc01,01-06 19:00:00+01:00,63.38817416,71.8444042,87.43396075
2030,sc01,01-06 20:00:00+01:00,61.1318654,70.3415709,83.37670041
2030,sc01,01-06 21:00:00+01:00,56.3019545,67.0667401,78.12480231
2030,sc01,01-06 22:00:00+01:00,52.24764969,61.84046905,70.64141095
2030,sc01,01-06 23:00:00+01:00,50.2381247,58.5656383,64.84854475
2030,sc01,01-07 00:00:00+01:00,50.20286985,54.70761846,60.04745335
2030,sc01,01-07 01:00:00+01:00,50.04422316,54.23658116,57.81596015
2030,sc01,01-07 02:00:00+01:00,50.87271155,54.1244294,56.41845934
2030,sc01,01-07 03:00:00+01:00,52.988001,54.46088461,56.260677
2030,sc01,01-07 04:00:00+01:00,58.98132115,55.91885725,56.86926605
2030,sc01,01-07 05:00:00+01:00,67.4601064,59.68715564,60.00237266
2030,sc01,01-07 06:00:00+01:00,70.4038842,64.7115536,67.8689497
2030,sc01,01-07 07:00:00+01:00,66.82551955,63.14142925,72.55733946
2030,sc01,01-07 08:00:00+01:00,62.04849086,61.21241935,77.1104872
2030,sc01,01-07 09:00:00+01:00,59.28098715,59.7993074,80.4239165
2030,sc01,01-07 10:00:00+01:00,57.14807025,54.23658116,83.60210376
2030,sc01,01-07 11:00:00+01:00,55.94940626,59.30583975,85.08976591
2030,sc01,01-07 12:00:00+01:00,55.6144854,58.45348655,85.6532743
2030,sc01,01-07 13:00:00+01:00,54.3100569,57.62356365,85.9913793
2030,sc01,01-07 14:00:00+01:00,53.93988125,56.88336221,86.30694401
2030,sc01,01-07 15:00:00+01:00,54.4158214,56.95065325,84.86436255
2030,sc01,01-07 16:00:00+01:00,58.1880876,60.6292303,84.23323316
2030,sc01,01-07 17:00:00+01:00,64.0051336,70.992051,91.17565645
2030,sc01,01-07 18:00:00+01:00,63.8288595,73.03321265,90.79247076
2030,sc01,01-07 19:00:00+01:00,63.22952745,72.3154415,87.27617841
2030,sc01,01-07 20:00:00+01:00,60.58541565,71.0369117,83.85004745
2030,sc01,01-07 21:00:00+01:00,56.4606012,67.5153471,77.89939889
2030,sc01,01-07 22:00:00+01:00,52.1595126,62.26664571,70.84427395
2030,sc01,01-07 23:00:00+01:00,50.8374567,58.87966315,64.37519769
2030,sc01,01-08 00:00:00+01:00,50.02659575,57.04037466,60.1376147
2030,sc01,01-08 01:00:00+01:00,50.48490845,56.52447665,57.68071815
2030,sc01,01-08 02:00:00+01:00,51.36627906,56.34503386,56.59878205
2030,sc01,01-08 03:00:00+01:00,54.3100569,56.72634976,56.35083835
2030,sc01,01-08 04:00:00+01:00,59.89794655,58.5656383,57.18483076
2030,sc01,01-08 05:00:00+01:00,69.22284759,63.18628996,60.5433407
2030,sc01,01-08 06:00:00+01:00,73.17138795,68.95088935,68.79310345
2030,sc01,01-08 07:00:00+01:00,69.43437655,67.0667401,73.18846885
2030,sc01,01-08 08:00:00+01:00,63.70546759,65.16016055,77.33589055
2030,sc01,01-08 09:00:00+01:00,60.3915141,63.43302375,81.1902879
2030,sc01,01-08 10:00:00+01:00,58.0999505,62.01991186,83.7598861
2030,sc01,01-08 11:00:00+01:00,56.3019545,60.80867305,85.24754825
2030,sc01,01-08 12:00:00+01:00,55.3324468,59.4179915,84.72912055
2030,sc01,01-08 13:00:00+01:00,54.4510762,58.78994175,84.68403986
2030,sc01,01-08 14:00:00+01:00,54.06327315,57.8702975,84.0078298
2030,sc01,01-08 15:00:00+01:00,54.9093889,58.78994175,82.99351469
2030,sc01,01-08 16:00:00+01:00,58.5406358,64.30780735,82.79065169
2030,sc01,01-08 17:00:00+01:00,64.69260265,72.8762002,91.26581781
2030,sc01,01-08 18:00:00+01:00,64.5692108,74.17716039,91.35597909
2030,sc01,01-08 19:00:00+01:00,63.5820757,73.5266803,88.0876305
2030,sc01,01-08 20:00:00+01:00,61.81933451,71.21635451,84.79674155
2030,sc01,01-08 21:00:00+01:00,57.2009525,67.5153471,78.68831065
2030,sc01,01-08 22:00:00+01:00,53.04088326,62.6031009,71.83604871
2030,sc01,01-08 23:00:00+01:00,51.20763235,58.92452385,65.4571338
2030,sc01,01-09 00:00:00+01:00,50.7140648,57.08523531,60.83636505
2030,sc01,01-09 01:00:00+01:00,50.8374567,56.07586965,58.31184751
2030,sc01,01-09 02:00:00+01:00,51.877474,55.9412876,57.5229358
2030,sc01,01-09 03:00:00+01:00,54.34531174,56.43475525,57.2299114
2030,sc01,01-09 04:00:00+01:00,60.44439635,57.91515819,57.68071815
2030,sc01,01-09 05:00:00+01:00,69.76929739,62.221785,61.08430875
2030,sc01,01-09 06:00:00+01:00,72.80121225,67.22375255,68.54515975
2030,sc01,01-09 07:00:00+01:00,69.2581024,65.07043915,73.6618159
2030,sc01,01-09 08:00:00+01:00,63.96987875,63.61246655,79.4096014
2030,sc01,01-09 09:00:00+01:00,60.5325334,62.06477255,83.15129705
2030,sc01,01-09 10:00:00+01:00,58.13520535,59.2834094,84.6389592
2030,sc01,01-09 11:00:00+01:00,56.6545027,57.57870294,85.29262891
2030,sc01,01-09 12:00:00+01:00,55.4734661,56.88336221,85.38279026
2030,sc01,01-09 13:00:00+01:00,54.53921325,56.1431607,86.17170201
2030,sc01,01-09 14:00:00+01:00,54.08090055,55.7169841,85.4053306
2030,sc01,01-09 15:00:00+01:00,54.38056654,56.18802139,84.97706419
2030,sc01,01-09 16:00:00+01:00,57.87079415,58.8572328,84.16561215
2030,sc01,01-09 17:00:00+01:00,64.21666255,69.08547145,92.66331855
2030,sc01,01-09 18:00:00+01:00,64.34005445,70.992051,92.6182379
2030,sc01,01-09 19:00:00+01:00,63.4058016,70.31914055,88.17779184
2030,sc01,01-09 20:00:00+01:00,61.3962766,68.30040925,83.9402088
2030,sc01,01-09 21:00:00+01:00,57.2009525,64.8461357,77.98956025
2030,sc01,01-09 22:00:00+01:00,52.86460909,60.65166065,70.979516
2030,sc01,01-09 23:00:00+01:00,50.5730455,57.44412089,64.60060111
2030,sc01,01-10 00:00:00+01:00,50.1323602,55.64969305,60.2052357
2030,sc01,01-10 01:00:00+01:00,50.16761505,54.8197702,58.08644415
2030,sc01,01-10 02:00:00+01:00,51.01373085,54.52817566,57.20737109
2030,sc01,01-10 03:00:00+01:00,53.3052944,54.8646309,56.7565644
2030,sc01,01-10 04:00:00+01:00,59.13996786,56.2777428,57.0946694
2030,sc01,01-10 05:00:00+01:00,68.28859474,59.709586,60.56588106
2030,sc01,01-10 06:00:00+01:00,71.2852548,63.2087203,68.02673205
2030,sc01,01-10 07:00:00+01:00,67.72451755,62.0423422,73.27863021
2030,sc01,01-10 08:00:00+01:00,62.75358736,61.1451283,77.92193925
2030,sc01,01-10 09:00:00+01:00,59.58065315,60.69652135,82.1595223
2030,sc01,01-10 10:00:00+01:00,57.71214745,60.3152054,84.72912055
2030,sc01,01-10 11:00:00+01:00,56.0551707,59.37313081,86.08154066
2030,sc01,01-10 12:00:00+01:00,54.7331148,58.54320794,85.94629866
2030,sc01,01-10 13:00:00+01:00,54.38056654,57.91515819,85.63073396
2030,sc01,01-10 14:00:00+01:00,53.5697056,57.13009599,84.45863651
2030,sc01,01-10 15:00:00+01:00,53.79886194,56.72634976,82.2271433
2030,sc01,01-10 16:00:00+01:00,56.3195819,58.78994175,82.1595223
2030,sc01,01-10 17:00:00+01:00,61.06135574,67.2910436,88.3581145
2030,sc01,01-10 18:00:00+01:00,60.0918481,68.21068785,88.22287251
2030,sc01,01-10 19:00:00+01:00,59.0870856,67.2910436,84.41355585
2030,sc01,01-10 20:00:00+01:00,57.55350075,65.92279241,81.05504585
2030,sc01,01-10 21:00:00+01:00,54.39819396,63.83677005,76.2990351
2030,sc01,01-10 22:00:00+01:00,50.78457445,60.76381236,70.73157229
2030,sc01,01-10 23:00:00+01:00,48.56352053,57.6011333,65.2542708
2030,sc01,01-11 00:00:00+01:00,47.52350321,55.7618448,60.88144575
2030,sc01,01-11 01:00:00+01:00,47.24146462,54.88706125,58.31184751
2030,sc01,01-11 02:00:00+01:00,47.29434686,54.28144185,57.07212905
2030,sc01,01-11 03:00:00+01:00,48.12283523,54.19172045,56.057814
2030,sc01,01-11 04:00:00+01:00,49.92083127,54.41602395,56.057814
2030,sc01,01-11 05:00:00+01:00,53.25241214,55.3356682,57.04958876
2030,sc01,01-11 06:00:00+01:00,56.68975755,56.63662835,59.0105979
2030,sc01,01-11 07:00:00+01:00,58.55826326,55.8964269,60.63350205
2030,sc01,01-11 08:00:00+01:00,58.4701262,56.72634976,65.8854002
2030,sc01,01-11 09:00:00+01:00,57.05993319,57.15252635,71.49794371
2030,sc01,01-11 10:00:00+01:00,56.0727981,56.63662835,75.41996205
2030,sc01,01-11 11:00:00+01:00,54.39819396,56.09830001,75.37488134
2030,sc01,01-11 12:00:00+01:00,53.34054925,55.55997164,74.1351629
2030,sc01,01-11 13:00:00+01:00,51.93035625,55.26837715,72.19669411
2030,sc01,01-11 14:00:00+01:00,51.5601806,54.99921296,70.46108825
2030,sc01,01-11 15:00:00+01:00,51.89510145,55.4926806,69.28899085
2030,sc01,01-11 16:00:00+01:00,54.8565067,58.22918305,70.3709269
2030,sc01,01-11 17:00:00+01:00,59.72167246,66.0349441,78.84609301
2030,sc01,01-11 18:00:00+01:00,58.9460663,66.32653865,81.75379625
2030,sc01,01-11 19:00:00+01:00,57.64163781,65.49661575,79.56738376
2030,sc01,01-11 20:00:00+01:00,55.6144854,63.99378245,77.2457292
2030,sc01,01-11 21:00:00+01:00,52.61782535,61.72831735,73.7294369
2030,sc01,01-11 22:00:00+01:00,49.2333622,59.21611834,68.8832648
2030,sc01,01-11 23:00:00+01:00,47.31197427,56.68148905,64.4878994
2030,sc01,01-12 00:00:00+01:00,46.02517318,54.93192195,61.06176845
2030,sc01,01-12 01:00:00+01:00,45.46109599,54.16929009,58.62741221
2030,sc01,01-12 02:00:00+01:00,44.96752845,53.45151895,57.36515345
2030,sc01,01-12 03:00:00+01:00,45.10854775,53.2720762,56.32829801
2030,sc01,01-12 04:00:00+01:00,46.67738743,53.58610105,56.32829801
2030,sc01,01-12 05:00:00+01:00,49.58591044,54.52817566,56.93688705
2030,sc01,01-12 06:00:00+01:00,52.388669,55.582402,57.8610408
2030,sc01,01-12 07:00:00+01:00,54.09852795,54.6403274,58.46962985
2030,sc01,01-12 08:00:00+01:00,54.4687036,55.4702503,61.1068491
2030,sc01,01-12 09:00:00+01:00,54.3100569,56.25531246,63.63136665
2030,sc01,01-12 10:00:00+01:00,53.587333,56.07586965,65.29935144
2030,sc01,01-12 11:00:00+01:00,52.89986395,56.63662835,65.07394811
2030,sc01,01-12 12:00:00+01:00,51.77170955,56.03100894,65.8403195
2030,sc01,01-12 13:00:00+01:00,50.67881,56.0534393,65.2542708
2030,sc01,01-12 14:00:00+01:00,50.73169224,55.8515662,64.4202784
2030,sc01,01-12 15:00:00+01:00,51.5601806,56.1431607,64.2850364
2030,sc01,01-12 16:00:00+01:00,55.27956455,59.0366756,66.2235052
2030,sc01,01-12 17:00:00+01:00,61.76645225,69.3097749,76.79492251
2030,sc01,01-12 18:00:00+01:00,61.78407965,71.19392415,82.04682065
2030,sc01,01-12 19:00:00+01:00,60.32100445,70.22941915,81.61855425
2030,sc01,01-12 20:00:00+01:00,58.55826326,68.5022824,78.73339135
2030,sc01,01-12 21:00:00+01:00,55.70262245,66.37139936,74.99169565
2030,sc01,01-12 22:00:00+01:00,51.8422192,63.70218795,70.3709269
2030,sc01,01-12 23:00:00+01:00,49.99134092,60.40492679,65.23173044
2030,sc01,01-13 00:00:00+01:00,49.6740475,58.3861955,61.2420911
2030,sc01,01-13 01:00:00+01:00,49.85032162,57.42169055,58.53725085
2030,sc01,01-13 02:00:00+01:00,50.62592775,56.95065325,57.63563745
2030,sc01,01-13 03:00:00+01:00,53.11139285,57.3095388,57.11720976
2030,sc01,01-13 04:00:00+01:00,57.57112815,58.5656383,57.8610408
2030,sc01,01-13 05:00:00+01:00,64.11089804,61.4367228,60.9039861
2030,sc01,01-13 06:00:00+01:00,67.742145,64.55454115,66.62923125
2030,sc01,01-13 07:00:00+01:00,67.58349825,62.87226504,69.76233785
2030,sc01,01-13 08:00:00+01:00,65.4858362,63.47788445,74.743752
2030,sc01,01-13 09:00:00+01:00,63.95225135,64.3750984,79.20673835
2030,sc01,01-13 10:00:00+01:00,62.013236,63.2984417,81.4607719
2030,sc01,01-13 11:00:00+01:00,59.42200646,62.01991186,81.5960139
2030,sc01,01-13 12:00:00+01:00,57.67689265,60.89839445,80.3562955
2030,sc01,01-13 13:00:00+01:00,55.94940626,59.7544467,80.1308921
2030,sc01,01-13 14:00:00+01:00,55.3148194,58.90209351,78.64323
2030,sc01,01-13 15:00:00+01:00,55.94940626,58.5656383,77.40351156
2030,sc01,01-13 16:00:00+01:00,61.60780554,62.0423422,78.4629073
2030,sc01,01-13 17:00:00+01:00,68.02418355,73.68369275,88.0876305
2030,sc01,01-13 18:00:00+01:00,68.46486891,75.5005509,90.22896234
2030,sc01,01-13 19:00:00+01:00,67.33671451,75.88186685,88.0876305
2030,sc01,01-13 20:00:00+01:00,65.67973775,73.79584449,83.8951281
2030,sc01,01-13 21:00:00+01:00,60.9379639,70.6107351,78.575609
2030,sc01,01-13 22:00:00+01:00,56.3195819,66.3041083,72.0839924
2030,sc01,01-13 23:00:00+01:00,55.35007419,61.97505115,65.6374565
2030,sc01,01-14 00:00:00+01:00,54.9093889,59.5974343,61.08430875
2030,sc01,01-14 01:00:00+01:00,55.24430975,58.78994175,58.4921702
2030,sc01,01-14 02:00:00+01:00,56.56636566,58.2964741,57.50039545
2030,sc01,01-14 03:00:00+01:00,59.404379,58.8572328,57.07212905
2030,sc01,01-14 04:00:00+01:00,66.04991341,60.5843696,57.7257988
2030,sc01,01-14 05:00:00+01:00,76.3443221,65.54147645,61.69289781
2030,sc01,01-14 06:00:00+01:00,80.15184315,70.992051,70.4160076
2030,sc01,01-14 07:00:00+01:00,75.0222662,68.7938769,76.2764948
2030,sc01,01-14 08:00:00+01:00,68.53537855,66.39382971,80.9423442
2030,sc01,01-14 09:00:00+01:00,64.30479961,64.39752875,83.03859539
2030,sc01,01-14 10:00:00+01:00,60.90270905,62.6928223,85.6758146
2030,sc01,01-14 11:00:00+01:00,58.75216475,60.9208248,85.5405726
2030,sc01,01-14 12:00:00+01:00,56.7602672,59.5525736,85.8561373
2030,sc01,01-14 13:00:00+01:00,55.54397575,58.31890445,84.79674155
2030,sc01,01-14 14:00:00+01:00,54.69785995,57.6908547,84.41355585
2030,sc01,01-14 15:00:00+01:00,55.40295646,57.62356365,82.745571
2030,sc01,01-14 16:00:00+01:00,59.56302576,61.30214071,82.2947643
2030,sc01,01-14 17:00:00+01:00,67.30145965,71.8444042,94.15098071
2030,sc01,01-14 18:00:00+01:00,68.041811,73.88556585,95.97674785
2030,sc01,01-14 19:00:00+01:00,67.67163534,73.23508581,91.04041445
2030,sc01,01-14 20:00:00+01:00,66.27906975,71.0817724,86.50980701
2030,sc01,01-14 21:00:00+01:00,61.0966106,67.1564615,81.05504585
2030,sc01,01-14 22:00:00+01:00,56.9365413,62.6031009,73.05322685
2030,sc01,01-14 23:00:00+01:00,54.71548739,58.22918305,66.0206422
2030,sc01,01-15 00:00:00+01:00,54.20429245,56.54690695,61.44495415
2030,sc01,01-15 01:00:00+01:00,54.1690376,55.8067055,58.62741221
2030,sc01,01-15 02:00:00+01:00,54.96227115,55.40295925,57.36515345
2030,sc01,01-15 03:00:00+01:00,57.67689265,55.6721234,56.8918064
2030,sc01,01-15 04:00:00+01:00,64.65734785,57.3095388,57.9286618
2030,sc01,01-15 05:00:00+01:00,74.05275855,61.30214071,61.35479281
2030,sc01,01-15 06:00:00+01:00,77.366712,66.5508421,70.88935465
2030,sc01,01-15 07:00:00+01:00,73.47105395,64.48725011,76.38919646
2030,sc01,01-15 08:00:00+01:00,67.58349825,62.62553126,80.28867445
2030,sc01,01-15 09:00:00+01:00,63.24715485,61.1451283,83.3090794
2030,sc01,01-15 10:00:00+01:00,59.9684562,60.674091,86.10408101
2030,sc01,01-15 11:00:00+01:00,58.0823231,59.8441681,87.0056944
2030,sc01,01-15 12:00:00+01:00,56.56636566,59.37313081,86.48726669
2030,sc01,01-15 13:00:00+01:00,55.36770165,58.8572328,86.0590003
2030,sc01,01-15 14:00:00+01:00,54.7331148,58.02730995,84.79674155
2030,sc01,01-15 15:00:00+01:00,55.24430975,57.64599401,84.23323316
2030,sc01,01-15 16:00:00+01:00,59.13996786,60.89839445,86.6225087
2030,sc01,01-15 17:00:00+01:00,66.50822615,70.45372265,95.27799745
2030,sc01,01-15 18:00:00+01:00,66.94891146,72.00141665,95.97674785
2030,sc01,01-15 19:00:00+01:00,66.40246166,70.72288685,93.45223031
2030,sc01,01-15 20:00:00+01:00,64.48107375,68.1882575,88.2904935
2030,sc01,01-15 21:00:00+01:00,59.0518308,64.3750984,82.0242803
2030,sc01,01-15 22:00:00+01:00,54.11615535,59.642295,73.3462512
