,Node,Technology,MutuallyExclusive,StorageType,OutflowsType,EnergyType,MustRun,BinaryCommitment,NoOperatingReserve,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,ShiftTime,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,OperReserveCost,StartUpCost,ShutDownCost,CO2EmissionRate,Availability,FixedInvestmentCost,FixedChargeRate,StorageInvestment,BinaryInvestment,Inertia,FixedRetirementCost,BinaryRetirement,MaximumReactivePower,MinimumReactivePower,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,ProductionFunction
123_CT_4,Node_123,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,12.725,0,0,0,5.665234428,0,0.681091668,0.966,,,,,0,,,0,0,0,0,0,0,
123_CT_5,Node_123,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,12.725,0,0,0,5.665234428,0,0.681091668,0.966,,,,,0,,,0,0,0,0,0,0,
201_CT_1,Node_201,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,13.977,0,0,0,0.051747,0,1.014377756,0.966,,,,,0,,,0,0,0,0,0,0,
201_CT_2,Node_201,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,13.977,0,0,0,0.051747,0,1.014377756,0.966,,,,,0,,,0,0,0,0,0,0,
201_STEAM_3,Node_201,Coal,,,,,,yes,,2015,2050,76,30,0,0,0,0,0,0,0,0.02,120,120,8,4,2.11399,12.989,0,0,0,11.17201435,0,1.237259454,0.966,,,,,0,,,0,0,0,0,0,0,
202_CT_1,Node_202,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,13.663,0,0,0,0.051747,0,0.991589274,0.966,,,,,0,,,0,0,0,0,0,0,
202_CT_2,Node_202,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,13.663,0,0,0,0.051747,0,0.991589274,0.966,,,,,0,,,0,0,0,0,0,0,
202_STEAM_3,Node_202,Coal,,,,,,yes,,2015,2050,76,30,0,0,0,0,0,0,0,0.02,120,120,8,4,2.11399,11.846,0,0,0,11.17201435,0,1.12838367,0.966,,,,,0,,,0,0,0,0,0,0,
202_STEAM_4,Node_202,Coal,,,,,,yes,,2015,2050,76,30,0,0,0,0,0,0,0,0.02,120,120,8,4,2.11399,11.846,0,0,0,11.17201435,0,1.12838367,0.966,,,,,0,,,0,0,0,0,0,0,
207_CT_1,Node_207,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.051,0,0,0,5.665234428,0,0.698540461,0.966,,,,,0,,,0,0,0,0,0,0,0.05
207_CT_2,Node_207,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.051,0,0,0,5.665234428,0,0.698540461,0.966,,,,,0,,,0,0,0,0,0,0,0.18
213_CC_3,Node_213,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.824,0,0,0,28.04668102,0,0.418771019,0.966,,,,,0,,,0,0,0,0,0,0,0.1
213_CT_1,Node_213,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.125,0,0,0,5.665234428,0,0.702501229,0.966,,,,,0,,,0,0,0,0,0,0,0.07
213_CT_2,Node_213,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.125,0,0,0,5.665234428,0,0.702501229,0.966,,,,,0,,,0,0,0,0,0,0,0.25
215_CT_4,Node_215,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,14.229,0,0,0,5.665234428,0,0.761591619,0.966,,,,,0,,,0,0,0,0,0,0,0.12
215_CT_5,Node_215,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,14.229,0,0,0,5.665234428,0,0.761591619,0.966,,,,,0,,,0,0,0,0,0,0,0.06
216_STEAM_1,Node_216,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,10.881,0,0,0,22.78479562,0,1.03646317,0.966,,,,,0,,,0,0,0,0,0,0,
218_CC_1,Node_218,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,11.385,0,0,0,28.04668102,0,0.609369638,0.966,,,,,0,,,0,0,0,0,0,0,
221_CC_1,Node_221,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,6.887,0,0,0,28.04668102,0,0.368619121,0.966,,,,,0,,,0,0,0,0,0,0,
223_STEAM_1,Node_223,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,10.857,0,0,0,22.78479562,0,1.034177064,0.966,,,,,0,,,0,0,0,0,0,0,
223_STEAM_2,Node_223,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,10.857,0,0,0,22.78479562,0,1.034177064,0.966,,,,,0,,,0,0,0,0,0,0,
223_STEAM_3,Node_223,Coal,,,,,,yes,,2015,2050,350,140,0,0,0,0,0,0,0,0.08,240,240,24,48,2.11399,11.229,0,0,0,36.74981356,0,1.069611703,0.966,,,,,0,,,0,0,0,0,0,0,
223_CT_4,Node_223,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,19.794,0,0,0,5.665234428,0,1.05945214,0.966,,,,,0,,,0,0,0,0,0,0,
223_CT_5,Node_223,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,19.794,0,0,0,5.665234428,0,1.05945214,0.966,,,,,0,,,0,0,0,0,0,0,
223_CT_6,Node_223,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,19.794,0,0,0,5.665234428,0,1.05945214,0.966,,,,,0,,,0,0,0,0,0,0,
301_CT_1,Node_301,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,14.593,0,0,0,0.051747,0,1.059083823,0.966,,,,,0,,,0,0,0,0,0,0,
301_CT_2,Node_301,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,14.593,0,0,0,0.051747,0,1.059083823,0.966,,,,,0,,,0,0,0,0,0,0,
301_CT_3,Node_301,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.09,0,0,0,5.665234428,0,0.700627893,0.966,,,,,0,,,0,0,0,0,0,0,
301_CT_4,Node_301,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.09,0,0,0,5.665234428,0,0.700627893,0.966,,,,,0,,,0,0,0,0,0,0,
302_CT_1,Node_302,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,14.593,0,0,0,0.051747,0,1.059083823,0.966,,,,,0,,,0,0,0,0,0,0,
302_CT_2,Node_302,Oil,,,,,,yes,,2015,2050,20,8,0,0,0,0,0,0,0,0.1,180,180,1,1,10.3494,14.593,0,0,0,0.051747,0,1.059083823,0.966,,,,,0,,,0,0,0,0,0,0,
302_CT_3,Node_302,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,15.395,0,0,0,5.665234428,0,0.82400049,0.966,,,,,0,,,0,0,0,0,0,0,
302_CT_4,Node_302,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,15.395,0,0,0,5.665234428,0,0.82400049,0.966,,,,,0,,,0,0,0,0,0,0,
307_CT_1,Node_307,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.353,0,0,0,5.665234428,0,0.714704679,0.966,,,,,0,,,0,0,0,0,0,0,
307_CT_2,Node_307,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,13.353,0,0,0,5.665234428,0,0.714704679,0.966,,,,,0,,,0,0,0,0,0,0,
313_CC_1,Node_313,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.934,0,0,0,28.04668102,0,0.424658648,0.966,,,,,0,,,0,0,0,0,0,0,
315_STEAM_1,Node_315,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,14.41,0,0,0,0.7037592,0,1.111165302,0.966,,,,,0,,,0,0,0,0,0,0,
315_STEAM_2,Node_315,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,14.41,0,0,0,0.7037592,0,1.111165302,0.966,,,,,0,,,0,0,0,0,0,0,
315_STEAM_3,Node_315,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,14.41,0,0,0,0.7037592,0,1.111165302,0.966,,,,,0,,,0,0,0,0,0,0,
315_STEAM_4,Node_315,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,14.41,0,0,0,0.7037592,0,1.111165302,0.966,,,,,0,,,0,0,0,0,0,0,
315_STEAM_5,Node_315,Oil,,,,,,yes,,2015,2050,12,5,0,0,0,0,0,0,0,0.02,60,60,4,2,10.3494,14.41,0,0,0,0.7037592,0,1.111165302,0.966,,,,,0,,,0,0,0,0,0,0,
315_CT_6,Node_315,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,10.342,0,0,0,5.665234428,0,0.553544207,0.966,,,,,0,,,0,0,0,0,0,0,
315_CT_7,Node_315,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,10.342,0,0,0,5.665234428,0,0.553544207,0.966,,,,,0,,,0,0,0,0,0,0,
315_CT_8,Node_315,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,10.342,0,0,0,5.665234428,0,0.553544207,0.966,,,,,0,,,0,0,0,0,0,0,
316_STEAM_1,Node_316,Coal,,,,,,yes,,2015,2050,155,62,0,0,0,0,0,0,0,0.04,180,180,8,8,2.11399,11.846,0,0,0,22.78479562,0,1.12838367,0.966,,,,,0,,,0,0,0,0,0,0,
318_CC_1,Node_318,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.952,0,0,0,28.04668102,0,0.425622078,0.966,,,,,0,,,0,0,0,0,0,0,
321_CC_1,Node_321,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.227,0,0,0,28.04668102,0,0.386817248,0.966,,,,,0,,,0,0,0,0,0,0,
322_CT_5,Node_322,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,12.064,0,0,0,5.665234428,0,0.645712368,0.966,,,,,0,,,0,0,0,0,0,0,
322_CT_6,Node_322,NG,,,,,,yes,,2015,2050,55,22,0,0,0,0,0,0,0,0.031,222,222,2.2,2.2,3.88722,12.064,0,0,0,5.665234428,0,0.645712368,0.966,,,,,0,,,0,0,0,0,0,0,
323_CC_1,Node_323,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.381,0,0,0,28.04668102,0,0.39505993,0.966,,,,,0,,,0,0,0,0,0,0,
323_CC_2,Node_323,NG,,,,,,yes,,2015,2050,355,170,0,0,0,0,0,0,0,0.033,248.4,248.4,8,4.5,3.88722,7.381,0,0,0,28.04668102,0,0.39505993,0.966,,,,,0,,,0,0,0,0,0,0,
114_SYNC_COND_1,Node_114,Sync_Cond,,,,,,,,2015,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,
121_NUCLEAR_1,Node_121,Nuclear,,,,,yes,yes,,2015,2050,400,396,0,0,0,0,0,0,0,0.12,1200,1200,24,48,0.81035,10,0,0,0,63.9998223,0,0,0.22275641,,,,,0,,,0,0,0,0,0,0,
122_HYDRO_1,Node_122,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
122_HYDRO_2,Node_122,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
122_HYDRO_3,Node_122,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
122_HYDRO_4,Node_122,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
122_HYDRO_5,Node_122,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
122_HYDRO_6,Node_122,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
201_HYDRO_4,Node_201,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0,0,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
214_SYNC_COND_1,Node_214,Sync_Cond,,,,,,,,2015,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,
215_HYDRO_1,Node_215,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
215_HYDRO_2,Node_215,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
215_HYDRO_3,Node_215,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
222_HYDRO_1,Node_222,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
222_HYDRO_2,Node_222,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
222_HYDRO_3,Node_222,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
222_HYDRO_4,Node_222,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
222_HYDRO_5,Node_222,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
222_HYDRO_6,Node_222,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
314_SYNC_COND_1,Node_314,Sync_Cond,,,,,,,,2015,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,
322_HYDRO_1,Node_322,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
322_HYDRO_2,Node_322,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
322_HYDRO_3,Node_322,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
322_HYDRO_4,Node_322,Hydro,,Weekly,Weekly,,,,,2015,2050,50,0,0,0,0.5,1,0,0,0,0.01,3000,3000,0,0,0,3.412,0,0,0,0,0,0,0.01,,,,,0,,,0,0,0,0,0,0,
320_PV_1,Node_320,Solar,,,,,,,yes,2015,2050,51.6,0,0,0,0,0,0,0,0,0,3096,3096,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
314_PV_1,Node_314,Solar,,,,,,,yes,2015,2050,51.6,0,0,0,0,0,0,0,0,0,3096,3096,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
314_PV_2,Node_314,Solar,,,,,,,yes,2015,2050,51.6,0,0,0,0,0,0,0,0,0,3096,3096,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
313_PV_1,Node_313,Solar,,,,,,,yes,2015,2050,95.1,0,0,0,0,0,0,0,0,0,5706,5706,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
314_PV_3,Node_314,Solar,,,,,,,yes,2015,2050,92.7,0,0,0,0,0,0,0,0,0,5562,5562,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
314_PV_4,Node_314,Solar,,,,,,,yes,2015,2050,51.6,0,0,0,0,0,0,0,0,0,3096,3096,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
313_PV_2,Node_313,Solar,,,,,,,yes,2015,2050,93.3,0,0,0,0,0,0,0,0,0,5598,5598,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
310_PV_1,Node_310,Solar,,,,,,,yes,2015,2050,51.7,0,0,0,0,0,0,0,0,0,3102,3102,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
324_PV_1,Node_324,Solar,,,,,,,yes,2015,2050,49.7,0,0,0,0,0,0,0,0,0,2982,2982,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
312_PV_1,Node_312,Solar,,,,,,,yes,2015,2050,94.1,0,0,0,0,0,0,0,0,0,5646,5646,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
310_PV_2,Node_310,Solar,,,,,,,yes,2015,2050,51.6,0,0,0,0,0,0,0,0,0,3096,3096,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
324_PV_2,Node_324,Solar,,,,,,,yes,2015,2050,51.6,0,0,0,0,0,0,0,0,0,3096,3096,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
324_PV_3,Node_324,Solar,,,,,,,yes,2015,2050,51,0,0,0,0,0,0,0,0,0,3060,3060,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
113_PV_1,Node_113,Solar,,,,,,,yes,2015,2050,93.6,0,0,0,0,0,0,0,0,0,5616,5616,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
319_PV_1,Node_319,Solar,,,,,,,yes,2015,2050,188.2,0,0,0,0,0,0,0,0,0,11292,11292,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
215_PV_1,Node_215,Solar,,,,,,,yes,2015,2050,125.1,0,0,0,0,0,0,0,0,0,7506,7506,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
102_PV_1,Node_102,Solar,,,,,,,yes,2015,2050,25.6,0,0,0,0,0,0,0,0,0,1536,1536,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
101_PV_1,Node_101,Solar,,,,,,,yes,2015,2050,25.9,0,0,0,0,0,0,0,0,0,1554,1554,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
102_PV_2,Node_102,Solar,,,,,,,yes,2015,2050,25.3,0,0,0,0,0,0,0,0,0,1518,1518,0,0,0,0,0,0,0,0,0,0,0.32,,,,,0,,,0,0,0,0,0,0,
