,,,MG1,MG2,MG3,MG4,MG5,MG6,MG7,MG8,MG9,MG10,MG11,MG12,MG13,MG14,MG15,MG16,MG17,MG18,MG19,MG20,MG21,MG22,MG23,MG24
sc01,y2030,C11,7.88E-05,1.18E-04,6.13E-04,7.88E-05,1.18E-04,6.13E-04,7.88E-05,1.18E-04,6.13E-04,7.88E-05,1.18E-04,6.13E-04,7.88E-05,1.18E-04,6.13E-04,7.88E-05,1.18E-04,6.13E-04,7.88E-05,1.18E-04,6.13E-04,7.88E-05,1.18E-04,6.13E-04
sc01,y2030,C12,9.31E-05,1.40E-04,7.24E-04,9.31E-05,1.40E-04,7.24E-04,9.31E-05,1.40E-04,7.24E-04,9.31E-05,1.40E-04,7.24E-04,9.31E-05,1.40E-04,7.24E-04,9.31E-05,1.40E-04,7.24E-04,9.31E-05,1.40E-04,7.24E-04,9.31E-05,1.40E-04,7.24E-04
sc01,y2030,C13,7.43E-05,1.11E-04,5.78E-04,7.43E-05,1.11E-04,5.78E-04,7.43E-05,1.11E-04,5.78E-04,7.43E-05,1.11E-04,5.78E-04,7.43E-05,1.11E-04,5.78E-04,7.43E-05,1.11E-04,5.78E-04,7.43E-05,1.11E-04,5.78E-04,7.43E-05,1.11E-04,5.78E-04
sc01,y2030,C14,8.09E-05,1.21E-04,6.29E-04,8.09E-05,1.21E-04,6.29E-04,8.09E-05,1.21E-04,6.29E-04,8.09E-05,1.21E-04,6.29E-04,8.09E-05,1.21E-04,6.29E-04,8.09E-05,1.21E-04,6.29E-04,8.09E-05,1.21E-04,6.29E-04,8.09E-05,1.21E-04,6.29E-04
sc01,y2030,C15,5.82E-05,8.73E-05,4.53E-04,5.82E-05,8.73E-05,4.53E-04,5.82E-05,8.73E-05,4.53E-04,5.82E-05,8.73E-05,4.53E-04,5.82E-05,8.73E-05,4.53E-04,5.82E-05,8.73E-05,4.53E-04,5.82E-05,8.73E-05,4.53E-04,5.82E-05,8.73E-05,4.53E-04
sc01,y2030,C16,6.19E-05,9.28E-05,4.81E-04,6.19E-05,9.28E-05,4.81E-04,6.19E-05,9.28E-05,4.81E-04,6.19E-05,9.28E-05,4.81E-04,6.19E-05,9.28E-05,4.81E-04,6.19E-05,9.28E-05,4.81E-04,6.19E-05,9.28E-05,4.81E-04,6.19E-05,9.28E-05,4.81E-04
sc01,y2030,C17,6.26E-05,9.39E-05,4.87E-04,6.26E-05,9.39E-05,4.87E-04,6.26E-05,9.39E-05,4.87E-04,6.26E-05,9.39E-05,4.87E-04,6.26E-05,9.39E-05,4.87E-04,6.26E-05,9.39E-05,4.87E-04,6.26E-05,9.39E-05,4.87E-04,6.26E-05,9.39E-05,4.87E-04
sc01,y2030,C18,3.39E-05,5.08E-05,2.63E-04,3.39E-05,5.08E-05,2.63E-04,3.39E-05,5.08E-05,2.63E-04,3.39E-05,5.08E-05,2.63E-04,3.39E-05,5.08E-05,2.63E-04,3.39E-05,5.08E-05,2.63E-04,3.39E-05,5.08E-05,2.63E-04,3.39E-05,5.08E-05,2.63E-04
sc01,y2030,C19,5.57E-05,8.35E-05,4.33E-04,5.57E-05,8.35E-05,4.33E-04,5.57E-05,8.35E-05,4.33E-04,5.57E-05,8.35E-05,4.33E-04,5.57E-05,8.35E-05,4.33E-04,5.57E-05,8.35E-05,4.33E-04,5.57E-05,8.35E-05,4.33E-04,5.57E-05,8.35E-05,4.33E-04
sc01,y2030,C20,5.23E-05,7.84E-05,4.06E-04,5.23E-05,7.84E-05,4.06E-04,5.23E-05,7.84E-05,4.06E-04,5.23E-05,7.84E-05,4.06E-04,5.23E-05,7.84E-05,4.06E-04,5.23E-05,7.84E-05,4.06E-04,5.23E-05,7.84E-05,4.06E-04,5.23E-05,7.84E-05,4.06E-04
sc01,y2030,C21,4.29E-05,6.43E-05,3.34E-04,4.29E-05,6.43E-05,3.34E-04,4.29E-05,6.43E-05,3.34E-04,4.29E-05,6.43E-05,3.34E-04,4.29E-05,6.43E-05,3.34E-04,4.29E-05,6.43E-05,3.34E-04,4.29E-05,6.43E-05,3.34E-04,4.29E-05,6.43E-05,3.34E-04
sc01,y2030,C22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
