,,,Gas_C1,Gas_C2,Ant_C3,Ant_C4,Gas_C5,Gas_C6,Ant_C7,Ant_C8,Sub_C9,Sub_C10,Sub_C11,Sub_C12,Sub_C13,Sub_C14,Gas_C15,Sub_C16,Sub_C17,Sub_C18,Sub_C19,Sub_C20,Gas_C21,Gas_C22,Nuc_N23,Nuc_N24,Hyd_H25,Hyd_H26,Hyd_H27,Pum_H28,Pum_H29,Pum_H30,Gas_C31,Gas_C32,Gas_C33,Ons_W100,Ons_W101,Ons_W102,Ons_W103,Ons_W104,Ons_W105,Sol_S106,Sol_S107,Sol_S108,Sol_S109,STATCON_SC001,Ant_CG1,Gas_CG2,Sub_CG3,ESS_CG4,ESS_CG5,ESS_CG6,ESS_CG7,ESS_CG8,ESS_CG9,Ons_CG10,Sol_CG11,STATCON_CG12,STATCON_CG13
sc01,y2030,2030-01-02T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0350716,195.4933338,608.1395369,169.8390588,248.0975143,237.44988,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,290.9603849,0.00006,,
sc01,y2030,2030-01-02T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.9570997,179.0943518,557.1256778,155.5920887,227.2858241,217.531368,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,266.5531375,0.00006,,
sc01,y2030,2030-01-02T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0154598,175.0476304,544.5371602,152.076412,222.1501936,212.616144,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,260.5302434,0.00006,,
sc01,y2030,2030-01-02T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.974155,164.122247,510.5505408,142.5847492,208.2849616,199.345968,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,244.2695678,0.00006,,
sc01,y2030,2030-01-02T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.5540451,170.6469016,530.8473982,148.2531836,216.5652979,207.270936,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,253.9804666,0.00006,,
sc01,y2030,2030-01-02T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.9430203,181.1279972,563.4519305,157.3588621,229.8666916,220.001472,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,269.5798918,0.00006,,
sc01,y2030,2030-01-02T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.1059349,182.6011112,568.034485,158.6386618,231.7361974,221.790744,0.03119213,0.026681669,0.058042003,0.04145263,,,,,,,,,,,271.7723851,0.00006,,
sc01,y2030,2030-01-02T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.7649605,191.2228978,594.8550888,166.129025,242.6779709,232.262928,0.253825958,0.217122065,0.472316794,0.337320761,,,,,,,,,,,284.6045275,0.37036848,,
sc01,y2030,2030-01-02T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0521779,179.8401858,559.445814,156.2400481,228.2323504,218.437272,5.682426305,4.860732686,10.57380174,7.551632496,,,,,,,,,,,267.6631915,8.291474952,,
sc01,y2030,2030-01-02T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.2953666,163.659939,509.1123958,142.183109,207.6982537,198.78444,109.5007526,93.66665906,203.7578996,145.5204866,,,,,,,,,,,243.5814967,159.7773028,,
sc01,y2030,2030-01-02T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.1514696,131.551258,409.2288953,114.2879984,166.9496317,159.784632,260.9920908,223.2519559,485.651459,346.8441557,,,,,,,,,,,195.7928891,380.8248922,,
sc01,y2030,2030-01-02T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.7225212,104.015982,323.5723176,90.36613234,132.0050462,126.339768,350.3550744,299.6928197,651.9372002,465.6026532,,,,,,,,,,,154.8110596,511.2183014,,
sc01,y2030,2030-01-02T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0712788,84.50224495,262.869097,73.41315154,107.2404696,102.638016,386.8879469,330.9429439,719.9172024,514.1528345,,,,,,,,,,,125.7680005,564.5250022,,
sc01,y2030,2030-01-02T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.8183649,79.5624433,247.5023904,69.12159211,100.971445,96.63804,385.3648613,329.6401003,717.0830597,512.1287374,,,,,,,,,,,118.4159003,562.3026017,,
sc01,y2030,2030-01-02T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.431754,79.29913106,246.68328,68.8928339,100.6372796,96.318216,355.1034262,303.7545475,660.7728859,471.9129521,,,,,,,,,,,118.0240023,518.146828,,
sc01,y2030,2030-01-02T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.274511,88.04605308,273.8931547,76.49191147,111.7378607,106.942392,285.9672396,244.6156332,532.1249647,380.0347567,,,,,,,,,,,131.042389,417.267216,,
sc01,y2030,2030-01-02T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.8277731,97.95796284,304.7270666,85.10309726,124.3169094,118.981584,166.3507492,142.2959983,309.5438018,221.07101,,,,,,,,,,,145.7946724,242.7296011,,
sc01,y2030,2030-01-02T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.3873578,110.5984916,344.0491507,96.08482982,140.3588057,134.335008,36.37574227,31.11571536,67.68761556,48.34136383,,,,,,,,,,,164.6080664,53.07742501,,
sc01,y2030,2030-01-02T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.6468101,110.7751989,344.5988508,96.23834813,140.583062,134.54964,0.248497303,0.212563949,0.462401285,0.33023927,,,,,,,,,,,164.8710667,0.362593212,,
sc01,y2030,2030-01-02T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0186918,108.9852447,339.0306715,94.68328675,138.3114594,132.375528,0.000012,0.000012,0.037243618,0.02659877,,,,,,,,,,,162.2070079,0.00006,,
sc01,y2030,2030-01-02T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.9993961,102.842399,319.9215422,89.3465567,130.5156704,124.914312,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,153.0643699,0.00006,,
sc01,y2030,2030-01-02T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.9942502,107.6064418,334.7414993,93.48542189,136.5616423,130.700808,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,160.1548814,0.00006,,
sc01,y2030,2030-01-02T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.6207604,116.8871609,363.6119069,101.5482472,148.339657,141.973344,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,173.9677392,0.00006,,
sc01,y2030,2030-01-02T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.3119901,113.9525513,354.4829402,98.99874168,144.61539,138.408912,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,169.6000448,0.00006,,
sc01,y2030,2030-01-03T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.190832,110.4646422,343.6327728,95.96854526,140.1889394,134.172432,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,164.4088531,0.00006,,
sc01,y2030,2030-01-03T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.3613796,118.0726588,367.2997469,102.5781741,149.8441536,143.413272,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,175.7321621,0.00006,,
sc01,y2030,2030-01-03T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.7193237,132.6190892,412.5506988,115.2156999,168.3047996,161.08164,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,197.3821842,0.00006,,
sc01,y2030,2030-01-03T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.7363971,142.8468907,444.3672847,124.1013235,181.2847415,173.50452,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,212.6046216,0.00006,,
sc01,y2030,2030-01-03T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.8935304,155.2133186,482.8366975,134.844925,196.9787807,188.525016,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,231.0100607,0.00006,,
sc01,y2030,2030-01-03T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.744402,166.009002,516.4198471,144.2239082,210.6794125,201.637656,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,247.0776989,0.00006,,
sc01,y2030,2030-01-03T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.5635462,180.8695458,562.647941,157.1343269,229.5386948,219.687552,0.031582032,0.02701519,0.058767528,0.041970787,,,,,,,,,,,269.1952284,0.00006,,
sc01,y2030,2030-01-03T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.7564154,192.5792344,599.074373,167.3073719,244.3992766,233.91036,0.254345827,0.217566761,0.473284159,0.338011637,,,,,,,,,,,286.6232165,0.371127048,,
sc01,y2030,2030-01-03T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.4618058,195.7839732,609.043656,170.091558,248.46636,237.802896,5.562206638,4.757897095,10.3500982,7.391867158,,,,,,,,,,,291.3929546,8.116057224,,
sc01,y2030,2030-01-03T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.3843074,206.6284422,642.7785677,179.5129248,262.2289051,250.974792,109.9804616,94.07700086,204.6505373,146.1579936,,,,,,,,,,,307.5332026,160.4772668,,
sc01,y2030,2030-01-03T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.7000308,202.7570053,630.7353242,176.1495304,257.3157254,246.272472,272.8952676,233.4339024,507.8007708,362.662824,,,,,,,,,,,301.7711916,398.1933342,,
sc01,y2030,2030-01-03T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.069144,188.0246795,584.9060899,163.3505039,238.6191625,228.378312,363.1095362,310.6029533,675.6705749,482.5526326,,,,,,,,,,,279.844494,529.8288907,,
sc01,y2030,2030-01-03T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.1119462,174.4322669,542.6228911,151.5418016,221.3692456,211.868712,398.1432372,340.5706898,740.8609334,529.1104973,,,,,,,,,,,259.6143742,580.9480849,,
sc01,y2030,2030-01-03T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.7765979,185.7821982,577.9301918,161.4022998,235.7732647,225.654552,403.0715938,344.7863933,750.0315696,535.6600123,,,,,,,,,,,276.5069213,588.139264,,
sc01,y2030,2030-01-03T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.2363579,201.7601296,627.634249,175.283473,256.0506062,245.061648,381.132089,326.0193982,709.2067601,506.5036157,,,,,,,,,,,300.2875022,556.1263801,,
sc01,y2030,2030-01-03T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.6304171,212.9257661,662.3682463,184.9838609,270.2207395,258.62364,323.6435638,276.8438628,602.2326898,430.1045225,,,,,,,,,,,316.9057562,472.2423764,,
sc01,y2030,2030-01-03T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.4525562,228.4694279,710.7213802,198.4877531,289.9469563,277.503264,202.5887262,173.2938696,376.9750651,269.2292916,,,,,,,,,,,340.039997,295.6060069,,
sc01,y2030,2030-01-03T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.1229094,258.8934324,805.3641979,224.9192645,328.5575818,314.456832,48.01378596,41.07086767,89.34357026,63.80768474,,,,,,,,,,,385.3212343,70.05899988,,
sc01,y2030,2030-01-03T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.1094013,283.4030479,881.6085686,246.2125226,359.6623493,344.226672,0.271761434,0.232464024,0.505690944,0.361156022,,,,,,,,,,,421.7998548,0.396538908,,
sc01,y2030,2030-01-03T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.7400688,290.6433638,904.131702,252.5027038,368.8509204,353.020896,0.000012,0.000012,0.03869467,0.027635086,,,,,,,,,,,432.5759009,0.00006,,
sc01,y2030,2030-01-03T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.5643541,297.3344705,924.9463582,258.3157471,377.3424984,361.14804,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,442.534537,0.00006,,
sc01,y2030,2030-01-03T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.7334422,306.9847279,954.966323,266.6996167,389.5894882,372.869424,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,456.8973926,0.00006,,
sc01,y2030,2030-01-03T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.9619206,302.3727919,940.6195394,262.6928978,383.736553,367.26768,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,450.0332681,0.00006,,
sc01,y2030,2030-01-03T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.0797308,301.7719517,938.7504487,262.1709048,382.974036,366.537888,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,449.1390137,0.00006,,
sc01,y2030,2030-01-04T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.9233176,306.4329696,953.2499165,266.220265,388.8892603,372.199248,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,456.0761892,0.00006,,
sc01,y2030,2030-01-04T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.066338,296.9952826,923.8912145,258.0210703,376.9120404,360.736056,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,442.0297102,0.00006,,
sc01,y2030,2030-01-04T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.1820998,300.4795164,934.729949,261.0480739,381.3338268,364.968072,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,447.2154319,0.00006,,
sc01,y2030,2030-01-04T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.6885939,301.505557,937.9217498,261.9394687,382.6359586,366.21432,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,448.7425282,0.00006,,
sc01,y2030,2030-01-04T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.3745647,309.464617,962.6807479,268.8540742,392.7366766,375.881544,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,460.588309,0.00006,,
sc01,y2030,2030-01-04T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.9365113,305.7608772,951.1591754,265.6363702,388.0363186,371.382912,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,455.0758879,0.00006,,
sc01,y2030,2030-01-04T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.5392509,308.2146247,958.7922794,267.7681164,391.150331,374.36328,0.03028236,0.025903452,0.05634911,0.040243594,,,,,,,,,,,458.7278966,0.00006,,
sc01,y2030,2030-01-04T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.8312449,301.6027133,938.2239833,262.0238755,382.7592583,366.332328,0.25096668,0.214676246,0.466996277,0.333520937,,,,,,,,,,,448.8871298,0.36619638,,
sc01,y2030,2030-01-04T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.9757653,294.2092826,915.2245416,255.6006727,373.3763717,357.352128,5.143842192,4.400029236,9.571609841,6.835883786,,,,,,,,,,,437.8831973,7.505603496,,
sc01,y2030,2030-01-04T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.6304209,277.6281991,863.6442022,241.1954978,352.3335794,337.212432,104.1967908,89.12966393,193.8883409,138.4718128,,,,,,,,,,,413.2049213,152.0380618,,
sc01,y2030,2030-01-04T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.4921085,255.7394947,795.5529468,222.179213,324.554969,310.626,261.3819924,223.5854767,486.3769841,347.3623135,,,,,,,,,,,380.6271053,381.3938146,,
sc01,y2030,2030-01-04T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.1535328,237.1197863,737.6308651,206.002939,300.92499,288.010152,352.7589478,301.7490866,656.4103039,468.797269,,,,,,,,,,,352.9146641,514.7258976,,
sc01,y2030,2030-01-04T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.4856094,226.448705,704.435327,196.7322065,287.3824886,275.048856,391.7855014,335.1322992,729.0305222,520.6614154,,,,,,,,,,,337.0324759,571.6712363,,
sc01,y2030,2030-01-04T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.4896547,218.9595998,681.1382618,190.2258845,277.8781831,265.952448,396.9490985,339.5492268,738.638892,527.5235525,,,,,,,,,,,325.8861475,579.2056652,,
sc01,y2030,2030-01-04T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.1234518,211.2183266,657.0567538,183.500486,268.0538551,256.549752,375.7891373,321.4490508,699.2646487,499.4031259,,,,,,,,,,,314.3645074,548.330247,,
sc01,y2030,2030-01-04T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.2558897,202.4545104,629.7943248,175.8867313,256.9318339,245.905056,319.7815882,273.5403389,595.0463645,424.972169,,,,,,,,,,,301.3209766,466.6072002,,
sc01,y2030,2030-01-04T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.7747442,191.9106395,596.9945117,166.7265156,243.5507731,233.098272,201.5727725,172.4248255,375.0845887,267.879145,,,,,,,,,,,285.6281203,294.1235848,,
sc01,y2030,2030-01-04T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.6795477,193.889038,603.1489022,168.4452919,246.0615276,235.501272,48.68857572,41.64808106,90.59921225,64.70444328,,,,,,,,,,,288.5726484,71.04361488,,
sc01,y2030,2030-01-04T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.2264754,217.4181977,676.3432769,188.886758,275.9220139,264.080232,0.322058743,0.275488212,0.599283672,0.427998384,,,,,,,,,,,323.5920182,0.4699299,,
sc01,y2030,2030-01-04T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.1420762,222.809341,693.1140144,193.5704303,282.763829,270.628416,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,331.6158679,0.00006,,
sc01,y2030,2030-01-04T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.077497,211.1870279,656.9593898,183.4732946,268.0141344,256.511736,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,314.3179243,0.00006,,
sc01,y2030,2030-01-04T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.2347519,186.0942368,578.90088,161.6733901,236.1692681,226.03356,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,276.9713405,0.00006,,
sc01,y2030,2030-01-04T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.4368609,158.3076821,492.4626254,137.5332202,200.9057886,192.283488,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,235.6155229,0.00006,,
